ID,n_ID,name,Con_Cl,u_Con_Cl,RAh,RAm,DE-,DEd,DEm,GLON,n_GLON,GLAT,ABS_LAW,A(B),D(0.9),u_D(0.9),Bmean,Dmod,n_Dmod,r,x,y,z,Btot,B-V,M(B),(B-V)o,Sp,n_Sp,RV
6293,--,--,4,--,17,7.1,-,26,30,357,--,8,1.72,1.46,6.2,--,15.63,16.43,--,9.8,9.7,-0.5,1.4,8.96,0.93,-7.7,0.5,F0,--,-73
6304,--,--,6,--,17,11.4,-,29,24,356,--,5,2.75,2.65,8.0,--,--,--,--,--,--,--,--,--,1.29,--,0.6,G4,--,-98
6316,--,--,3,--,17,13.4,-,28,5,357,--,5,2.75,2.65,7.2,--,--,--,--,--,--,--,--,--,1.24,--,0.55,G5,:,--
6325,--,--,4,--,17,15.0,-,23,42,1,--,8,1.72,3.69,4.9,--,--,--,--,--,--,--,--,--,1.61,--,1.18,G5,:,--
6333,--,M9,8,--,17,16.2,-,18,28,5,--,10,1.38,1.57,7.9,--,15.75,16.55,--,12.8,12.6,1.1,2.2,8.52,0.94,-8.4,0.59,F2,--,224
6341,--,M92,4,--,17,15.6,+,43,12,68,--,35,0.42,0.12,12.3,--,13.96,14.8,1,7.9,2.4,6.0,4.5,6.94,0.61,-8.0,0.5,F1,--,-118
6342,--,--,4,--,17,18.2,-,19,32,5,--,9,1.53,2.11,4.7,--,--,--,--,--,--,--,--,--,1.27,--,0.89,G5,:,--
6352,--,--,11,:,17,21.6,-,48,26,342,--,-7,1.97,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
6355,--,--,--,--,17,20.9,-,26,19,359,--,5,2.75,2.92,6.1,--,--,--,--,--,--,--,--,--,1.49,--,0.8,G5,:,--
6356,--,--,2,--,17,20.7,-,17,46,7,--,10,1.38,1.84,6.3,--,16.72,17.4,1,19.1,18.7,2.0,3.3,9.26,1.12,-8.5,0.77,G4,--,31
H P,--,--,9,--,17,24.9,-,29,57,357,--,3,4.59,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
6362,--,delta 225,10,--,17,26.6,-,67,1,326,--,-17,0.82,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-18
6366,--,--,11,--,17,25.1,-,5,2,18,--,16,0.87,--,--,--,16.06,16.86,--,17.4,16.0,5.0,4.8,11.6,--,-5.5,--,--,--,--
