318.3-02.0 |   18.  82..1559|   11.   79..1507
318.3-02.5 |    6.  82..1559|<  10.   79..1507
318.4+41.4 |                |  215.   82..2582
319.2+06.8 |   60.  82..1559|   82.   75..9002
319.6+15.7 |   84.  82..1559|  110.   82..2582
320.1-09.6 |  122.  82..2501|   76.   75..9002
320.3-28.8 |   18.  82..1559|
320.9+02.0 |  222.  82..1559|  267.   79..1509
321.0+03.9 |  160.  82..2501|  115.   82..2501
321.3+02.8 |   96.  82..1559|  156.   79..1507
321.3-16.7 |   17.  82..1559|   18.   75..9002
321.8+01.9 |   25.  82..1559|   26.   79..1507
322.1-06.6 |   20.  82..1559|   23.   82..2582
322.4-00.1 |  221.  82..1559|  100.   82..1559
322.4-02.6 |   67.  82..1559|   61.   82..2582
322.5-05.2 |  102.  82..1559|  117.   82..2582
323.1-02.5 |   10.  82..1559|   25.   79..1507
323.9+02.4 |   51.  82..1559|  110.   79..1507
324.2+02.5 |   18.  82..1559|
324.8-01.1 |  216.  82..1559|  210.   82..2582
325.0+03.2 |   35.  82..1559|   35.   82..2582
325.4-04.0 |   44.  82..1559|   51.   82..2582
325.8+04.5 |   29.  82..1559|   40.   79..1507
325.8-12.8 |   62.  82..1559|   62.   82..2582
326.0-06.5 |    6.  82..1559|<  10.   75..9002
326.7+42.2 |    6.  82..1559|<  10.   79..1507
327.1-01.8 |                |   80.   82..2582
327.1-02.2 |   68.  82..1559|   65.   82..2582
327.5+13.3 |    5.  82..1559|<  10.   79..1507
327.8+10.0 |                |  334.   79..1507
327.8-01.6 |   65.  82..1559|  120.   82..2582
327.8-06.1 |<   1.  82..1559|<  10.   79..1507
327.8-07.2 |    3.  82..1559|<  10.   79..1507
328.9-02.4 |  146.  82..1559|  186.   82..2582
329.0+01.9 |   70.  82..1559|   75.   82..2582
329.3-02.8 |   50.  82..1559|   75.   75..9002
329.4-02.7 |    6.  82..1559|<  10.   79..1507
330.6-02.1 |    1.  82..1559|<  10.   79..1507
330.6-03.6 |   21.  82..1559|   25.   79..1507
330.7+04.1 |   34.  82..1559|<  10.   79..1507
331.0-02.7 |   25.  82..1559|   30.   79..1507
331.1-05.7 |   32.  82..2501|   11.   82..2501
331.3+16.8 |   42.  82..1559|   39.7  84..2631
331.4+00.5 |<   1.  82..1559|
331.4-03.5 |   16.  82..1559|   28.   79..1507
331.5-02.7 |   14.  82..1559|   32.   79..1507
331.5-03.9 |   14.  82..1559|<   8.   79..1507
331.7-01.0 |  580.  82..2501|  649.   82..2582
332.0-03.3 |   24.  82..1559|   97.   82..2582
332.3-04.2 |   14.  82..1559|   15.   79..1507
332.9-09.9 |   25.  82..2501|   26.   82..2501
333.4+01.1 |  141.  82..1559|  196.   79..1507
334.3-09.3 |   36.  82..1559|   60.   82..2582
335.4-01.1 |   76.  82..1559|  128.   82..2582
336.2+01.9 |   13.  82..1559|   40.   82..2582
336.2-06.9 |   20.  82..1559|   30.   79..1507
