051.9+25.8 |261   |       | 20.3  |       |P| 67.30013                  |                            |                                                                  |
051.9-03.8 |      |       | 15.01 | 14.54 |B| 91..1502                  |                            |                                                                  |
052.2-04.0 |380   |       | 18.5  | 18.1  |D| 91..1502                  |                            |WN b?         68.43751                                            |
052.5-02.9 |      |       | 15.57 | 14.12 |B| 91..1502                  |  cool star?                |                                                                  |
053.3+03.0 |      |       | 22.21 | 21.15 |A| KJL 88                    |                            |                                                                  |
053.3+24.0 |272   |       | 17.3  | 17.6  |D| SK 85                     |                            |                                                                  |
053.8-03.0 |379   |  14.35| 15.05 | 14.67 | | 66..9017                  |  close binary              |sdO + K-MV    86.30753                                            |UU Sge;UBV 16747;CSI +16 -19399;HV 5452
054.1-12.1 |403   |       | 12.30 | 12.42 |B| SK 85   ,91..1502         |                            |Of (H)        91.50001                                            |BD +12 4266;GCRV 12622;HD 192563;EM* CDS 1140
054.4-02.5 |      |       | 18.9  | 17.7  |D| 91..1502                  |                            |                                                                  |
055.1-01.8 |      |       |       |       | |                           |                            |late-type,var.87..1532                                            |
055.4+16.0 |314   |  13.58| 14.69 | 14.96 |B| 66..9017,SK 85   ,91..1502|   close binary             |O9 k          76.25010|O(H)        91.50001                       |UBV 15775;FB172;V477 Lyr;CSI +26 -18292
055.5-00.5 |      |       |       |       | |                           |                            |WC ?          91.30002                                            |
055.6+02.1 |      |       | 17.7  | 16.7  |C| 91..1502                  |                            |                                                                  |
057.2-08.9 |398   |       | 14.9  | 14.8  |C| 91..1502                  |                            |Of/WR ?       76.25010                                            |GCRV 12528;CSI +16 -20082
058.3-10.9 |405   |       | 14.6  | 14.4  |C| 78...302,81..1008         |                            |Of/WR         81.27752                                            |CSI +16-20178 0;HD 193538;QV Sge
058.6+06.1 |359   |  16.97| 17.86 | 17.66 | | 66..9017                  |                            |                                                                  |UBV 16325;CSI +25 -19150
058.6-05.5 |395   |       | 17.4  |       | | 81..1143                  |                            |                                                                  |
059.0-01.7 |385   |       |>12.0  |>11.6  | | 72.30001                  |                            |                                                                  |
059.7-18.7 |414   |  14.55| 15.79 | 16.12 | | 66..9017                  |                            |IUE obsns     82.29501                                            |UBV 18031;CSI +13 -20477
060.0-04.3 |394   |  13.42| 13.52 | 13.26 | | 68..9085                  |                            |                                                                  |
060.1-07.7 |402   |       |       | 18.   | | 76.25010                  |                            |                                                                  |GCRV 12572;CSI +19 -20105
060.3-07.3 |400   |       |       |       | |                           |                            |var.;G8-K0 Ia 82..1531                                            |CSV 5066;LS II +20 19;FG Sge;CSI +20 -20097
060.4+01.5 |      |       |       | 18.6  | | 91.30001                  |                            |(WC 11)       91.30001                                            |
060.8-03.6 |393   |  12.43| 13.66 | 13.94 |B| 68..9085,72.30001         |                            |O7            76.25010|O(H)        91.50001                       |GCRV 12336;PLX 4735;CSI +22 -19572
061.0+08.0 |356   |       |       | 17.2  | | 85..9051                  |                            |                                                                  |
061.4-09.5 |408   |       | 16.3  | 15.7  |C| 91..1502                  |                            |WC-OVI        69..9068|WC 3        91.50001                       |CSI +19-20201 0;HD 193949;PLX 4855
061.9+41.3 |212   |       | 15.18 | 15.47 |B| 87..2542,91..1502         |                            |                                                                  |
062.4+09.5 |349   |       |       | 16.   | | 81..1002                  |                            |                                                                  |
063.1+13.9 |333   |       | 15.03 | 15.29 |B| 91..1502                  |                            |O(H)          91.50001                                            |PLX 4377;CSI +32 -18517;HD 175353
064.6+48.2 |195   |  12.37| 13.55 | 13.91 |A| 80.30014,SK 85   ,91..1502|                            |O(H)          91.50001                                            |CSI +40 -16027;GCRV 9247;PLX 3646
064.7+05.0 |376   |       | 11.96 | 12.50 |B| 91..1502                  |                            |WC 9          91.50001                                            |AG +30 1906;BD +30 3639;GCRV 11983;HD 184738;LS II +30 04; PLX 4591;DC 17895;LF 2 +30 158
064.9+15.5 |331   |       |       |       | |                           |                            |                                                                  |
065.0-27.3 |426bis|       | 14.76 | 14.95 | | 84..2586                  |                            |                                                                  |
065.1-03.5 |397   |       |>21.   |       | | 77..1547                  |                            |                                                                  |
065.9+00.5 |388   |  14.75| 15.65 | 15.98 | | 72.30001                  |                            |                                                                  |PLX 4708;CSI +29 -19529
066.7-28.2 |434   |  12.39| 13.58 | 13.68 |B| 91..1502,72.30001         |                            |O(H)          91.50001                                            |
068.3-02.7 |      |       |       |       | |                           |                            |WC 9          91.30002                                            |
068.6+01.1 |      |       | 21.1  | 21.1  |C| KJL 88                    |                            |                                                                  |
068.7+14.8 |      |       |       |       | |                           |                            |WC ?          91.30002                                            |
068.8-00.0 |396   |       |>21.   |       |P| 67.30013                  |                            |                                                                  |
069.4-02.6 |404   |       | 18.1  |       |P| 67.30013                  |                            |                                                                  |GCRV 12649;VES 128;CSI +30 -20144 2
071.6-02.3 |407   |       |>17.6  |>15.7  | | 72.30001                  |                            |                                                                  |VES 131;UBV M 44556;GEN  +6.20055131
072.7-17.1 |425   |  15.72| 16.91 | 17.11 | | 66..9017                  |                            |sd Op         76.25010                                            |UBV 18389;FB 176;CSI +23 -21146
074.5+02.1 |401   |       |       | 18.36 |B| 89..2255                  |                            |                                                                  |GCRV 12543;CSI +37 -20091
075.7+35.8 |234bis|       | 14.79 | 14.31 |A| 91..1502                  |                            |O(H)          91.50001                                            |
076.3+01.1 |406   |       |>21.   |       |P| 67.30013                  |                            |                                                                  |
077.5+03.7 |      |       |       |       | |                           |                            |                                                                  |
077.6+14.7 |365   |  15.82| 17.05 | 17.39 | | 66..9017                  |                            |                                                                  |UBV 16374;CSI +46 -19177
078.5+18.7 |338   |       | 20.0  |       |P| 67.30013                  |                            |                                                                  |
078.9+00.7 |409   |       |       |       | |                           |                            |                                                                  |
081.2-14.9 |433   |  11.86| 13.02 | 13.21 |A| 66..9017,91..1502         |                            |O5fek         76.25010|Of/WR(C)    91.50001                       |CSI +31-21334 0;UBV 18570
