009.6+14.8 |           2.6    78..1992
009.6+14.8 |           2.83   75..9002
009.6+14.8 |           2.95   76..9034
009.6+14.8 |    2.8  - 3.5    71..9065
009.6-10.6 |           5.47   78..1992
009.6-10.6 |           5.6    84..1511
009.6-10.6 |           7.4    71..9065
009.6-10.6 |           8.31   CKS91
009.8-04.6 |           2.5    84..1511
009.8-04.6 |           5.19   71..9065
010.1+00.7 |           0.58   84..4108
010.1+00.7 |           0.65   82...363
010.1+00.7 |           0.9    84..1511
010.1+00.7 |           0.90   CKS91
010.1+00.7 |           1.24   78..1992
010.1+00.7 |           2.3    71..9065
010.1+00.7 |           2.5    76..9034
010.1+00.7 |           2.95   75..9002
010.4+04.5 |           2.7    84..1511
010.4+04.5 |           4.06   78..1992
010.4+04.5 |           4.94   71..9065
010.4+04.5 |           6.60   CKS91
010.7-06.4 |           2.20   84..4108
010.7-06.4 |           2.27   82...363
010.7-06.4 |           3.4    84..1511
010.7-06.4 |           4.8    78..1992
010.7-06.4 |           5.11   CKS91
010.7-06.4 |           6.02   75..9002
010.7-06.4 |           6.3    76..9034
010.7-06.4 |    4.9  - 6.0    71..9065
010.7-06.7 |           6.6    84..1511
010.7-06.7 |           7.34   71..9065
010.7-06.7 |           9.10   CKS91
010.8+18.0 |           1.69   CKS91
010.8+18.0 |           2.30   84..4108
010.8+18.0 |           2.37   82...363
010.8+18.0 |           2.75   78..1992
010.8+18.0 |           3.25   76..9034
010.8+18.0 |           3.3    84..1511
010.8+18.0 |           3.33   75..9002
010.8+18.0 |           3.45   71..9065
010.8-01.8 |           1.20   84..4108
010.8-01.8 |           1.44   82...363
010.8-01.8 |           2.1    84..1511
010.8-01.8 |           2.31   CKS91
010.8-01.8 |           2.9    78..1992
010.8-01.8 |           3.44   75..9002
010.8-01.8 |           3.59   76..9034
010.8-01.8 |    2.1  - 3.3    71..9065
011.0+05.8 |           2.30   84..4108
011.0+05.8 |           2.80   82...363
011.0+05.8 |           3.8    84..1511
011.0+05.8 |           4.12   CKS91
011.0+05.8 |           5.0    78..1992
011.0+05.8 |           6.20   75..9002
011.0+05.8 |           6.35   76..9034
011.0+05.8 |    4.5  - 5.0    71..9065
011.0+06.2 |           3.50   84..4108
011.0+06.2 |           5.00   82...363
011.0+06.2 |           5.4    84..1511
011.0+06.2 |           6.59   78..1992
011.0+06.2 |           7.55   CKS91
011.0+06.2 |           7.78   71..9065
011.0-05.1 |           2.8    84..1511
011.0-05.1 |           4.63   78..1992
011.0-05.1 |           6.08   71..9065
011.0-05.1 |           7.64   CKS91
011.1+11.5 |           7.62   CKS91
011.3-09.4 |           2.94   CKS91
011.7-00.0 |           0.7    84..1511
011.7-00.0 |           3.15   71..9065
011.7-00.6 |           0.2    84..1007
011.7-00.6 |           1.15   78..1992
011.7-00.6 |           1.20   84..4108
011.7-00.6 |           1.48   82...363
011.7-00.6 |           2.1    84..1511
011.7-00.6 |           2.37   CKS91
011.7-00.6 |           3.5    76..9034
011.7-00.6 |           3.55   75..9002
011.7-00.6 |    1.8  - 2.2    71..9065
011.9+04.2 |           0.8    84..1511
011.9+04.2 |           2.16   78..1992
011.9+04.2 |           2.91   71..9065
011.9+04.2 |           4.00   CKS91
012.5-09.8 |           4.4    84..1511
012.5-09.8 |           5.95   78..1992
012.5-09.8 |           8.51   71..9065
012.6-02.7 |           3.80   84..4108
013.0-04.3 |           3.1    84..1511
013.0-04.3 |           6.07   71..9065
013.1+04.1 |           1.2    84..1511
013.1+04.1 |           3.2    78..1992
013.1+04.1 |           3.62   CKS91
013.1+04.1 |           4.35   71..9065
013.3+32.7 |          12.53   CKS91
013.4-03.9 |           3.16   78..1992
013.4-03.9 |           4.22   71..9065
013.4-03.9 |           7.3    84..1511
013.4-03.9 |           9.93   CKS91
013.8-07.9 |           5.5    84..1511
013.8-07.9 |    5.3  - 6.3    71..9065
014.2-07.3 |           8.65   CKS91
014.3-05.5 |           8.12   CKS91
014.6-04.3 |           2.30   84..4108
014.6-04.3 |           2.80   82...363
014.6-04.3 |           3.9    84..1511
014.6-04.3 |           4.36   CKS91
014.6-04.3 |           4.55   78..1992
014.6-04.3 |           5.53   71..9065
014.9+06.4 |           3.52   CKS91
014.9+06.4 |           4.14   71..9065
014.9+06.4 |           5.7    84..1511
