Vd 1-7         | 347+ 3 1 | 16 57.5 -37 07 |347.54 +03.64 | No emission-line object detected (a)
Ve 22          | 266+ 0 1 | 08 59.3 -45 36 |266.51 +00.22 | H alpha emission star (a)
Ve 27          | 266- 1 1 | 08 52.0 -46 18 |266.23 -01.20 | Peculiar emission-line object (a)
VV 1-8         |  26+ 1 1 | 18 33.4 -04 58 |026.45 +01.74 | HII region ? (a)
We 1-12        |*110- 0 1 | 23 12.2 +59 36 |110.67 -00.89 | No emission-line object detected (a)
We 2-260       |*111- 3 1 | 23 22.3 +57 46 |111.25 -03.07 | Nebula of unknown nature (b)
Wray 16-11     |          | 08 02.8 -47 58 |262.74 -08.99 | No emission-line object detected (b)
Wray 16-15     |          | 08 11.8 -35 21 |252.93 -00.84 | Nova CP Pup (a)
Wray 16-17     |          | 08 14.2 -41 42 |258.50 -03.93 | Symbiotic star (a)
Wray 16-51     |          | 09 33.5 -46 35 |271.35 +03.80 | S or M star with emission (a)
Wray 16-52     |          | 09 34.7 -41 41 |268.17 +07.54 | Galaxy ? (b)
Wray 16-60     |          | 09 48.4 -59 32 |281.56 -04.49 | Probable SV Car star (a)
