Group,Name,HubCode,HubBar,MB,MWay,V0
31-10,N 3568,3,B,--,--,2172.0
31+10,1113-33,3,B,-19.65,--,2738.0
31-11+10,1125-36,4,B,-19.6,--,2710.0
31-11+10,N 3706,-5,--,-21.14,--,2780.0
31+11+10,N 3783,1,B,-20.53,--,2627.0
31-12+12,0935-22,7,X,--,--,2143.0
31-12,N 2935,4,X,-21.74,--,2009.0
31-12,N 2983,-2,B,-19.72,--,1752.0
31-12,N 2986,-5,--,-20.7,--,2132.0
31-13+12,0930-16,2,X,--,--,1868.0
31-13+12,N 2907,1,A,-19.55,--,1810.0
31-14+12,0909-14,10,--,-17.86,--,1803.0
31-14+12,N 2763,6,--,-19.53,--,1640.0
31-14+12,N 2781,1,X,-20.23,--,1778.0
31+14+12,N 2848,5,X,-19.78,--,1789.0
31-15+12,N 2992,1,P,-20.51,--,1965.0
31-15+12,N 2993,1,P,-19.6,--,1970.0
31-16+12,0917-12,10,--,--,--,1703.0
31-16+12,0918-12,10,--,--,--,1663.0
31-16+12,N 2855,0,A,-19.8,--,1660.0
31+17+12,0922-24,4,XP,-18.88,--,2138.0
31+17+12,N 2865,-5,--,-20.7,--,2443.0
31 -0+12,0909-19,7,--,--,--,1914.0
31 -0+12,N 2811,0,B,-20.53,--,2260.0
31 -0+12,N 2815,3,B,-20.68,--,2016.0
31 -0+12,N 2902,-2,A,-19.46,--,1816.0
31-18+18,0940-05,8,BP,--,--,1734.0
31-18,0941-05,7,A,--,--,1808.0
31-18,N 2974,-5,--,-20.63,--,1786.0
31-19+19,0949+01,10,--,--,--,1662.0
31-19,N 3023,6,XP,-19.7,--,1683.0
31-19,U 5238,7,X,-18.4,--,1592.0
31-20+19,U 5224,8,B,-17.67,--,1756.0
31-20+19,U 5249,6,B,-19.01,--,1695.0
31 -0+19,N 2967,5,A,-20.31,--,1963.0
31-21+21,0815-29,7,--,--,--,1370.0
31-21,N 2559,5,BP,--,--,1296.0
31-21,N 2566,2,B,--,--,1377.0
31+21,0833-31,8,--,--,--,1266.0
31-22+21,0831-21,10,--,--,--,1511.0
31-22+21,N 2613,3,A,-21.24,--,1411.0
31 -0+21,0859-26,9,--,--,--,1682.0
31 -0+21,0908-32,10,--,--,--,1251.0
31-23+23,N 2775,2,A,-20.13,--,965.0
31-23,U 4797,9,--,-16.92,--,1140.0
31-24+24,U 3912,10,B,-17.96,--,1073.0
31-24,U 3946,10,--,-17.39,--,1028.0
31 -0,1000-21,7,X,--,--,2806.0
31 -0,N 2525,5,B,-19.89,--,1354.0
31 -0,N 2663,-5,--,--,--,2020.0
31 -0,N 2708,3,A,--,--,1795.0
31 -0,N 2888,-5,--,-19.35,--,1952.0
31 -0,N 2962,-2,X,-19.77,--,1937.0
31 -0,N 3055,5,X,-19.67,--,1615.0
31 -0,U 3964,8,X,-17.66,--,1271.0
31 -0,U 4508,13,P,-17.93,--,1736.0
31 -0,U 5245,8,--,-17.24,--,1220.0
32 -1 +1,0859+26,10,P,--,--,2694.0
32 -1,N 2735,13,P,-18.97,--,2534.0
32 -1,N 2750,5,X,-20.62,--,2600.0
32 +1,N 2764,-2,--,-19.59,--,2523.0
32 +2 +2,N 2608,3,B,-19.95,--,2063.0
32 +2,U 4559,4,--,-18.94,--,2027.0
32 +3 +3,0955+13,13,P,-19.03,--,2700.0
32 +3,N 3153,5,--,-20.12,--,2672.0
32 +3,U 5425,5,--,-19.45,--,2577.0
32 +3,U 5458,12,--,-19.34,--,2700.0
32 -4 +4,N 3367,5,B,-21.21,--,2913.0
32 -4,N 3419,-2,X,-19.79,--,2894.0
32 +4,N 3300,-2,X,-20.06,--,2867.0
32 +4,N 3433,5,A,-20.58,--,2582.0
32 -0,0923+19,13,P,-18.68,--,2381.0
32 -0,0931+11,13,P,-18.57,--,2358.0
32 -0,N 2577,-3,--,-19.14,--,2054.0
32 -0,N 2872,-5,--,-20.59,--,2825.0
32 -0,N 2940,-3,--,-18.59,--,2824.0
32 -0,N 2990,5,--,-20.29,--,2994.0
32 -0,U 6157,8,A,-19.07,--,2859.0
33 -1 +1,N 2842,-2,B,--,--,2490.0
33 -1,N 2887,-5,--,--,--,2561.0
33 -2 +1,0913-601,5,--,--,--,2620.0
33 -2 +1,0913-603,5,--,--,--,2701.0
33 -0 +1,0944-63,5,--,--,--,2618.0
33 -0 +1,N 2714,-2,--,--,--,2421.0
33 -3 +3,0916-62,5,--,--,--,1831.0
33 -3,0926-60,12,P,--,--,1918.0
33 +3,1001-64,1,--,--,--,1867.0
