notRadio,Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,n_RAh,F6cm,r_F6cm,F11cm,r_F11cm,l_z,z,Sp,n_Vmag,Vmag,B-V,U-B,Mabs,FC,r_Vmag,r_z,RA1950h,RA1950m,RA1950s,DE1950-,DE1950d,DE1950m,DE1950s
*,SDSS J11253+6411,11,25,20.3,--,64,11,21,O,--,1,--,--,--,0.638,S1,--,20.79,--,--,-22.2,--,--,1,11,22,24.7,--,64,27,50
*,SDSS J11253+6348,11,25,21.7,--,63,48,28,O,--,2,--,--,--,0.069,S1,--,18.79,--,--,-19.3,--,--,2,11,22,26.5,--,64,4,57
*,SDSS J11253+0318,11,25,22.5,--,3,18,45,O,--,2,--,--,--,0.035,S1,--,18.41,--,--,-18.2,--,--,2,11,22,48.1,--,3,35,15
*,2QZ J112526-0208,11,25,26.5,-,2,8,2,O,--,--,--,--,--,0.445,S1,*,20.65,--,-0.73,-21.6,--,489,489,11,22,53.1,-,1,51,32
*,Q 1122+4636,11,25,27.6,--,46,20,14,--,--,--,--,--,--,0.049,--,R,18.39,--,--,-18.4,1795,--,1795,11,22,42.9,--,46,36,44
*,SDSS J11254+0318,11,25,29.6,--,3,18,44,O,--,2,--,--,--,0.25,S1,--,20.3,--,--,-20.7,--,--,2,11,22,55.2,--,3,35,14
*,2QZ J112530-0240,11,25,30.5,-,2,40,2,O,--,--,--,--,--,0.574,S1,*,20.33,--,-1.07,-22.4,--,489,489,11,22,57.2,-,2,23,32
*,SDSS J11255+6402,11,25,31.9,--,64,2,19,O,--,2,--,--,--,0.695,S1,--,22.14,--,--,-21.1,--,--,2,11,22,36.6,--,64,18,48
*,2QZ J112535+0134,11,25,35.1,--,1,34,47,O,--,--,--,--,--,0.331,S1,*,19.03,--,-0.89,-22.6,--,489,489,11,23,1.0,--,1,51,17
*,MARK   40,11,25,36.1,--,54,22,56,O,--,--,--,--,--,0.02,S1.0,--,15.39,0.82,-0.23,-19.2,1274,2189,1485,11,22,47.8,--,54,39,26
*,SDSS J11256-0051,11,25,40.4,-,0,51,38,O,--,2,--,--,--,0.04,S1,--,18.87,--,--,-18.0,--,--,2,11,23,6.8,-,0,35,8
