RefCode,f_RefCode,Text
197,--,"Bischoff K.,Pietsch W.,Boller T. et al. 1999,MPE Report 272,226."
197,=,1999MPER..272..226B
198,--,"Blades J.C.,Murdoch H.S.,Hunstead R.W. 1980,MNRAS 191,61."
198,=,1980MNRAS.191...61B
199,--,"Blades J.C.,Hunstead R.W.,Murdoch H.S. 1981,MNRAS 194,669."
199,=,1981MNRAS.194..669B
200,--,"Blake G.M. 1970,Astrophys. Letters 6,201."
200,=,1970ApL.....6..201B
201,--,"Blanco V.M.,Heathcotes S. 1986,PASP 98,635."
201,=,1986PASP...98..635B
202,--,"Blanton E.L.,Gregg M.D.,Helfand D.J.,Becker R.H.,White R.L. 2000,ApJ 531,118."
202,=,2000ApJ...531..118B
203,--,"Blanton E.L.,Gregg M.D.,Helfand D.J.,Becker R.H.,Leighly K.M. 2001,AJ 121,2915."
203,=,2001AJ....121.2915B
204,--,"Blumenthal G.R.,Keel W.C.,Miller J.S. 1982,ApJ 257,499."
204,=,1982ApJ...257..499B
205,--,"Bohringer H.,Voges W.,Huchra J.P. et al. 2000,ApJS 129,435."
205,=,2000ApJS..129..435B
206,--,"Bohuski T.J.,Weedman D.W. 1979,ApJ 231,653."
206,=,1979ApJ...231..653B
207,--,"Bohuski T.J.,Fairall A.P.,Weedman D.W. 1978,ApJ 221,776."
207,=,1978ApJ...221..776B
208,--,"Boisse P.,Bergeron J. 1988,A&A 192,1."
208,=,1988A&A...192....1B
209,--,"Boisse P.,Boulade O.,Kunth D.,Tytler D.,Vigroux L. 1992,A&A 262,401."
209,=,1992A&A...262..401B
210,--,"Boisson C.,Cayatte V.,Sol H. 1989,A&A 211,275."
210,=,1989A&A...211..275B
211,--,"Boksenberg A.,Briggs S.A.,Carswell R.F.,Schmidt M.,Walsh D. 1976,MNRAS 177,43P."
211,=,1976MNRAS.177p..43B
212,--,"Boksenberg A.,Carswell R.F.,Oke J.B. 1976,ApJ 206,L121."
212,=,1976ApJ...206L.121B
213,--,"Boller T.,Lorenz H.,Afanasjev V.L.,Dodonov S.N.,Terebizh V.Y. 1989,"
213,--,"Astron. Nach. 310,187."
213,=,1989AN....310..187B
214,--,"Boller T.,Bertoldi F.,Dennefeld M.,Voges W. 1998,A&AS 129,87."
214,=,1998A&AS..129...87B
215,--,"Boller T.,Voges W.,Dennefeld M. et al. 2003,A&A 397,557."
215,=,2003A&A...397..557B
216,--,"Bolton J.G.,Butler P.W. 1975,Aust. J. Phys. Astrophys. Suppl. 34,33."
216,=,1975AuJPA..34...33B
217,--,"Bolton J.G.,Ekers J. 1966,Aust. J. Phys. 19,275."
217,=,1966AuJPh..19..275B
218,--,"Bolton J.G.,Ekers J. 1966,Aust. J. Phys. 19,471."
218,=,1966AuJPh..19..471B
219,--,"Bolton J.G.,Ekers J. 1966,Aust. J. Phys. 19,559."
219,=,1966AuJPh..19..559B
220,--,"Bolton J.G.,Ekers J. 1966,Aust. J. Phys. 19,713."
220,=,1966AuJPh..19..713B
221,--,"Bolton J.G.,Ekers J. 1967,Aust. J. Phys. 20,109."
221,=,1967AuJPh..20..109B
222,--,"Bolton J.G.,Kinman T. 1966,ApJ 145,951."
222,=,1966ApJ...145..951B
223,--,"Bolton J.G.,Savage A. 1977,Aust. J. Phys. Astrophys. Suppl. 41,25."
223,=,1977AuJPA..41...25B
224,--,"Bolton J.G.,Savage A. 1977,Aust. J. Phys. Astrophys. Suppl. 44,21."
224,=,1977AuJPA..44...21B
225,--,"Bolton J.G.,Shimmins A.J. 1973,Aust. J. Phys. Astrophys. Suppl. 30,1."
225,=,1973AuJPA..30....1B
226,--,"Bolton J.G.,Wall J.V. 1969,Astrophys. Letters 3,177."
226,=,1969ApL.....3..177B
227,--,"Bolton J.G.,Wall J.V. 1970,Aust. J. Phys. 23,789."
227,=,1970AuJPh..23..789B
228,--,"Bolton J.G.,Clarke M.,Ekers J. 1965,Aust. J. Phys. 18,627."
228,=,1965AuJPh..18..627B
229,--,"Bolton J.G.,Clarke M.,Sandage A.,Veron P. 1965,ApJ 142,1289."
229,=,1965ApJ...142.1289B
