                    Terzan                      (Ta 233)                             1992, a list in the paper Acker et al. (1992A&A...264..217A)
                    Terzan                      (Ta)                                 1989, priv. communication to SECGPN
1985Msngr..42....4T Terzan                      (Ta, Trz)
1980Msngr..20....6T Terzan & Ju                 (TaJu)
1988A&AS...76..205T Terzan & Ounnas             (Ta)
1978CRB...287..235T Terzan et al.               (TrBr 4 renamed by TaJu 21)
1950MNRAS.110..524T Thackeray                   (Tc,AG Car)
1977MNSSA..36...51T Thackeray                   (CD-41 13967)
1962CoBos..14.....T The                         (Th1)                                1962a
1962CoBos..17.....T The                         (Th2)                                1962b
1964CoBos..26.....T The                         (Th3)                                1964a, and priv. communication to CGPN
1964CoBos..28.....T The                         (Th4)                                1964b
1991PASP..103..487T Thompson et al.             (TaJu,ToDo,Trz)
1994AJ....108..984T Trammell et al.
1990AJ.....99.1170T Turatto et al.              (IRAS)
1985AJ.....90...59T Turner & Terzian            (PP)
1994ApJ...433L..93T Tweedy & Kwitter
1998BAAS...30.1273U Ueta                                                             (also 2000ApJ...528..861U)
1994A&A...285..241V Van Winckel et al.          (V417 Cen)
1993A&A...274..895V Van de Steene & Pottasch    (to PN 08-,09-,12-,14-, 15-,16-,17-)
1995A&A...299..238V Van de Steene & Pottasch    (to PN 18-,19-)
1996A&AS..118..243V Van de Steene et al.        (MaC 1-12, PN 18-,19-)                1996a
1996A&AS..120..111V Van de Steene et al.        (PN 08-,09-, 12-,14-,15-,16-,17-)     1996b
1964CoBos..30.....V Vandervort                  (Vd1)
1980AJ.....85.1207V Vega et al.                 (VERA)
1957ApJ...126..302V Velghe                      (Ve)
1997AJ....114.1573V Vijapurkar et al.           (IRAS)
1998BASI...26..487V Vijapurkar et al.           (IRAS)
                    Volk                        (Vo)                                 1988, priv. communication to SECGPN
1989ApJ...342..345V Volk & Kwok                 (CPD-59 6926)
1961AZh....38..375V Vorontsov-Velyaminov        (V-V1)
1965ATsir.348....1V Vorontsov-Velyaminov et al. (V-V2)
1972ATsir.716....7V Vorontsov-Velyaminov et al. (V-V3)
1942PASP...54..152V Vyssotsky                   (Vy1)
1945PASP...57..314V Vyssotsky et al.            (Vy2)
1987IAUS..122..509W Waelkens & Waters
1992IAUC.5603....1W Watson
1974MNRAS.166..491W Webster & Glass             (CPD-56 8032)
                    Wehinger, Rubin & Blanco    (Bl3)                                1964, priv. communication to CGPN
1977A&AS...30..335W Weinberger                  (We2)
1977A&AS...30..343W Weinberger                  (We1)
1978Obs....98..137W Weinberger                  (We3)
1995PASP..107...58W Weinberger                  (We4)
1981A&A...100...66W Weinberger & Sabbadin       (WeSb)
1983ApJ...265..249W Weinberger et al.           (WeDe)
1994A&A...282..197W Weinberger et al.           (WSLS)
1997A&A...323..963W Weinberger et al.           (WeKG)
1973A&AS....9..183W Welin                       (K 4-56)
1993IAUS..155..496W Werner et al.               (RXJ)
1997A&A...327..721W Werner et al.
1980A&A....88..350W West & Schuster             (SuWt)
1975ApJ...202..407W Westbrook et al.            (CRL 618)
1986MNRAS.223..497W Whitelock & Menzies         (IRAS)
1993ApJ...405..608W Winkler et al.              (WiOl)
                    Wisniewski & Coyne          (to VES 351)                         1977, Publ. Vatican Obs. Vol.1, No.11
1979A&AS...36..323W Wouterloot & Dekker         (19W32)
