181+00.1  Pu 1           No central star visible.
183+05.1  WeSb 2         No central star known.
192+07.1 *HtDe 6         Ko,Ku (1999): coordinates uncertain because no central
192+07.1 *HtDe 6         star known.  Coordinates differ too much.
193-04.1  KLSS 1-5       Ko,Ku (1999): suspected central star measured.
198-06.1  A 12           Coordinates 09.133.025 probably not correct.
203-18.1 *MaC 2-2        IRAS 05264-0042 nearby.
204-08.1  A 13           Ko,Ku (1999): suspected central star measured.
204-08.1  A 13           Coordinates differ too much.
205+14.1 *A 21           Coordinates differ too much. Large nebula.
208+33.1  A 30           Coordinates 34.134.010 probably not correct.
210+03.1 *We 2-34        Ko,Ku (1999): suspected central star measured.
210+01.1  M 1-8          Coordinates 11.133.011 probably not correct.
211-03.1  M 1-6          Probably printing error in coordinates 50.134.178.
214+07.1  A 20           IRAS 07203+0151 nearby.
217+14.1  A 24           Ko,Ku (1999): main component of the binary measured.
217+14.1  A 24           Coordinates 70.002.006 probably not correct.
218-10.1  HtDe 5         IRAS 06212-1011 nearby. The 70.002.006 rad coord.
218-10.1  HtDe 5         coincide with the nebula, see Condon, Kaplan
218-10.1  HtDe 5         (1998ApJS..117..361C). Ko,Ku (1999): the central star
218-10.1  HtDe 5         measured as indicated in the disc. paper. The nebula 
218-10.1  HtDe 5         has the coordinates: RA 06 21 15, DEC -10 11.3 (1950).
219+31.1  A 31           Coordinates differ too much; IRAS 08515+0905 nearby.
220-53.1  NGC 1360       IRAS 03311-2601 nearby.
221+05.1  M 3-3          Coordinates 11.133.011 probably not correct.
221+05.2 *Y-C 37         Ko,Ku (1999): identif. uncertain because made only
221+05.2 *Y-C 37         according to the coordinates; M 3-3 (221+05.1) nearby.
221-04.1  A 17           Coordinates 18.133.025 probably not correct.
225+00.1 *We 2-37        Ko,Ku (1999): suspected central star measured.
225-02.1 *Sa 2-4         Ko,Ku (1999): identif. uncertain because made only
225-02.1 *Sa 2-4         according to the coordinates.
228+05.1  M 1-17         Coordinates 09.133.025 probably not correct.
228-11.1 *KLSS 1-7       No central star visible.
231+04.1  M 1-18         Coord. 70.002.006 rad: deviation in DEC from
231+04.1  M 1-18         optical position.
232-01.1  M 1-13         Coordinates differ too much.
236-10.1 *HtWe 9         Coordinates in the disc. paper do not correspond with 
236-10.1 *HtWe 9         the disc. FC; Ko,Ku (1999): suspected central star 
236-10.1 *HtWe 9         measured.
238+34.1  A 33           Coordinates 09.133.025 and 50.134.178 probably
238+34.1  A 33           not correct.
238-01.1 *KLSS 1-8       Ko,Ku (1999): no central star known. Coordinates differ
238-01.1 *KLSS 1-8       too much.
241+02.1  M 3-4          Coordinates 09.133.025 probably not correct.
242-11.1  M 3-1          IRAS 07009-3131 nearby.
244+12.1  A 29           Ko,Ku (1999): Large object. Other central star
244+12.1  A 29           candidates: RA 08 38 05.5, DEC -20 43 46 (1950),
244+12.1  A 29           RA 08 38 05.7, DEC -20 44 00 (1950); suspected central
244+12.1  A 29           star measured. Coordinates differ too much.
247-10.1 *Sa 3-4         Ko,Ku (1999): identif. uncertain because made only
247-10.1 *Sa 3-4         according to the coordinates.
