NUM,NGC/Other Cat.,NGC/IC,Con,RA,DEC,VMAG,BMAG,Stars,Size,Class,n
123,2311,NGC2311,Mon,06h 57m 47.5s,"-04? 36' 41""",9.6,,20,6,Plei,
124,2323 (M50),NGC2323,Mon,07h 02m 42.3s,"-08? 23' 26""",5.9,,45,16,Plei,
125,2324,NGC2324,Mon,07h 04m 07.9s,"+01? 02' 41""",8.4,,50,7,Praes,
126,2331,NGC2331,Gem,07h 06m 59.8s,"+27? 15' 42""",8.5,,20,18,Plei,
127,2335,NGC2335,Mon,07h 06m 49.5s,"-10? 01' 43""",7.2,,40,12,Plei,
128,2343,NGC2343,Mon,07h 08m 06.8s,"-10? 37' 01""",6.7,,12,6,Plei,
129,2345,NGC2345,Cma,07h 08m 18.8s,"-13? 11' 38""",7.7,,45,12,Praes,
130,2353,NGC2353,Mon,07h 14m 30.3s,"-10? 15' 57""",7.1,,60,20,¦ÌNorm,
131,2354,NGC2354,Cma,07h 14m 15.3s,"-25? 41' 33""",6.5,,30,20,Praes,
132,,,Cma,07h 14m 24.0s,"-31? 10' 00""",3.6,,18,95,Plei,
133,2355,NGC2355,Gem,07h 16m 59.3s,"+13? 44' 59""",9.7,,30,9,Praes,
134,2360,NGC2360,Cma,07h 17m 43.1s,"-15? 38' 29""",7.2,,50,12,Praes,
135,,,Pup,07h 17m 18.0s,"-36? 50' 00""",2.1,,16,50,Neb?,
136,2362,NGC2362,Cma,07h 18m 41.5s,"-24? 57' 15""",3.8,,20,8,¦ÌNorm,
137,2367,NGC2367,Cma,07h 20m 04.5s,"-21? 53' 03""",7.9,,(30),3.5,Plei,
138,2368,NGC2368,Mon,07h 21m 06.3s,"-10? 22' 18""",11.8,,(15),5,Praes,
139,2374,NGC2374,Cma,07h 23m 56.1s,"-13? 15' 48""",8,,40,19,Plei,
140,,,Cma,07h 23m 54.0s,"-32? 12' 00""",3.5,,15,42,Plei,
141,2383,NGC2383,Cma,07h 24m 39.9s,"-20? 56' 51""",8.4,,25¡À,5,Praes,
142,2384a,NGC2384,Cma,07h 25m 11.8s,"-21? 01' 24""",7.4,,(15),2.5,¦ÌNorm,
143,2384b,NGC2384,Cma,07h 25m 11.8s,"-21? 01' 24""",nl,nl,nl,nl,¦ÌNorm,
144,2395,NGC2395,Gem,07h 27m 12.9s,"+13? 36' 29""",8,,22,12,Plei,
145,Tr.6,,Cma,07h 26m 06.0s,"-24? 18' 00""",,10,20,6,Plei,
146,Tr.7,,Pup,07h 27m 18.0s,"-24? 02' 00""",7.9,,12¡À,5,Plei,
