HCG,m_HCG,RAh,RAm,RAs,DE-,DEd,DEm,DEs,a,b,MType,T,morph,RVhel,e_RVhel,q_RVhel,Bmag,q_Bmag,DBmag,Rmag,q_Rmag,DRmag,B-R,BTmag,BTc,e_BTmag,MB-5log(h),Names
54,a,11,26,37.92,+,20,51,33.2,11.6,11.6,Sdm,10,m,1397,46,0,14.16,1,44.9,13.94,1,63.2,0.88,14.05,13.86,0.2,--,I700 U6487
54,b,11,26,36.8,+,20,51,25.7,5.7,3.9,Im,12,m,1412,33,0,16.38,1,22.7,15.55,1,28.7,0.7,16.43,16.08,0.2,--,--
54,c,11,26,39.01,+,20,51,43.6,4.8,4.4,Im,12,m,1420,35,0,17.05,1,20.5,16.24,1,26.1,0.65,17.0,16.8,0.7,--,--
54,d,11,26,39.25,+,20,51,51.3,5.4,2.5,Im,12,--,1670,50,0,18.26,1,11.9,17.85,1,13.1,0.53,18.54,18.02,0.2,--,--
55,a,11,29,8.44,+,71,5,29.4,13.2,12.9,E0,0,--,15820,100,0,16.25,1,23.1,14.36,1,38.8,1.67,15.71,15.43,0.2,-20.6,U6514
55,b,11,29,6.99,+,71,4,57.4,7.9,7.0,S0,1,--,15690,100,0,16.88,1,15.9,15.0,1,26.1,1.68,16.37,16.06,0.2,-20.0,U6514
55,c,11,29,7.19,+,71,5,13.4,17.2,11.3,E3,0,m,15480,100,0,17.43,1,18.8,15.31,1,32.8,1.83,16.88,16.6,0.2,-19.4,U6514
55,d,11,29,8.38,+,71,5,50.8,8.2,6.6,E2,0,--,16070,100,0,17.63,1,12.6,15.62,1,20.5,1.81,17.09,16.81,0.2,-19.2,U6514
55,e,11,29,9.09,+,71,5,41.5,6.6,5.0,Sc,7,--,36880,100,0,18.03,1,15.3,16.52,1,18.7,1.35,17.44,17.06,0.2,--,U6514
56,a,11,30,1.85,+,53,13,1.5,27.9,7.0,Sc,7,m,8245,35,0,16.36,0,24.3,14.81,0,27.1,1.51,15.96,15.24,0.2,-19.4,Mk176
56,b,11,29,55.61,+,53,13,36.0,17.1,10.4,SB0,1,m,7919,38,0,15.0,1,33.6,13.52,1,41.2,1.43,14.83,14.5,0.2,-20.0,U6257
56,c,11,29,51.83,+,53,13,25.4,18.4,14.0,S0,1,m,8110,28,0,15.87,1,23.7,14.27,1,30.7,1.52,15.66,15.37,0.2,-19.2,U6257
56,d,11,29,50.42,+,53,13,24.2,12.5,7.9,S0,1,m,8346,56,0,17.01,1,18.7,15.32,1,24.4,1.62,16.84,16.52,0.2,-18.1,U6257
56,e,11,29,47.85,+,53,12,55.3,12.5,9.5,S0,1,m,7924,63,0,16.54,0,20.3,15.19,0,29.3,1.2,16.52,16.23,0.1,-18.3,--
57,a,11,35,17.26,+,22,15,27.9,51.5,19.1,Sb,5,m,8727,31,0,14.66,1,56.6,12.74,1,81.1,1.73,14.52,13.99,0.2,-20.7,N3753 U6602a
57,b,11,35,7.13,+,22,17,10.4,30.0,18.9,SBb,5,m,9022,20,0,15.15,0,43.5,13.45,0,53.7,1.55,14.67,14.32,0.2,-20.5,N3746 U6597
57,c,11,35,15.23,+,22,15,2.7,27.4,21.0,E3,0,m,9081,36,0,15.23,1,35.1,13.52,1,49.1,1.57,14.82,14.63,0.2,-20.2,N3750
57,d,11,35,18.6,+,22,15,45.2,17.3,15.5,SBc,7,m,8977,41,0,15.2,1,44.3,14.06,1,47.4,1.26,14.74,14.51,0.2,-20.3,N3754
57,e,11,35,12.63,+,22,18,9.6,18.0,9.1,S0a,2,m,8992,105,0,15.91,0,43.5,14.1,0,36.5,1.71,15.76,15.37,0.1,-19.4,N3748
57,f,11,35,17.57,+,22,12,46.8,20.8,12.0,E4,0,m,9594,105,0,15.23,0,48.0,14.07,0,53.8,1.07,15.41,15.22,0.1,-19.7,N3751
57,g,11,35,8.06,+,22,17,51.8,13.4,7.9,SB0,1,m,9416,105,0,16.35,0,16.4,14.56,0,14.6,1.65,16.12,15.84,0.1,-19.0,N3745
57,h,11,35,14.16,+,22,17,19.6,10.0,8.5,SBb,5,--,--,--,--,17.38,0,16.7,15.75,0,20.6,1.53,16.99,16.75,0.1,-18.1,--
58,a,11,39,36.31,+,10,33,18.4,36.7,24.0,Sb,5,m,6138,20,0,14.28,3,58.2,12.97,3,55.7,1.31,13.89,13.56,0.2,-20.4,N3822 U6661
58,b,11,39,48.82,+,10,32,29.9,40.1,32.3,SBab,4,--,6503,17,0,14.1,3,74.6,12.52,3,76.1,1.57,13.66,13.4,0.2,-20.7,N3825 U6668
58,c,11,39,18.38,+,10,34,53.3,30.6,22.4,SB0a,2,m,6103,19,0,14.51,3,55.3,13.24,3,55.0,1.27,14.11,13.83,0.2,-20.1,N3817 U6657
