GC,18 59 33.15,-36 37 56.1,+inf,,+7.01,+7.76,8.700E+03,-94.5,F9,3.06,,,NGC 6723,
GC,19 05 15.30,+01 54 03.0,+inf,,+12.44,+14.58,7.900E+03,-61.7,,2.20,,,NGC 6749,
GC,19 10 52.11,-59 59 04.4,+inf,,+5.40,+6.06,4.000E+03,-26.7,F4/5,3.82,,,C 93,NGC 6752,
GC,19 11 12.01,+01 01 49.7,+inf,,+8.88,+10.54,7.400E+03,-27.5,G5,2.54,,,NGC 6760,
GC,19 16 35.57,+30 11 00.5,+inf,,+8.27,+9.13,9.400E+03,-135.6,F5,2.20,,,M 56,NGC 6779,
GC,19 17 43.92,-34 39 27.8,+inf,,+12.00,,2.280E+04,+166.0,,1.54,,,Terzan 7,
GC,19 18 02.10,+18 34 18.0,+inf,,+13.22,,5.900E+03,-31.7,,1.98,,,Pal 10,
GC,19 28 44.11,-30 21 20.3,+inf,,+12.30,+13.16,2.860E+04,+115.0,,3.54,,,Arp 2,
GC,19 39 59.71,-30 57 53.1,+inf,,+6.32,+7.04,5.400E+03,+174.7,F4,5.66,,,M 55,NGC 6809,
GC,19 41 44.41,-33 59 58.1,+inf,,+12.40,,2.630E+04,+130.0,,1.90,,,Terzan 8,
GC,19 45 14.40,-08 00 26.0,+inf,,+9.80,+11.07,1.340E+04,-68.0,,2.92,,,Pal 11,
GC,19 53 46.49,+18 46 45.1,+inf,,+8.19,+9.28,4.000E+03,-22.8,G1,3.34,,,M 71,NGC 6838,
GC,20 06 04.69,-21 55 16.2,+inf,,+8.52,+9.39,2.090E+04,-189.3,F9,0.92,,,M 75,NGC 6864,
GC,20 34 11.37,+07 24 16.1,+inf,,+8.83,+9.60,1.560E+04,-411.4,F7/8,1.38,,,C 47,NGC 6934,
GC,20 53 27.70,-12 32 14.3,+inf,,+9.27,+9.99,1.700E+04,-345.0,F7,1.86,,,M 72,NGC 6981,
GC,21 01 29.38,+16 11 14.4,+inf,,+10.56,+11.31,4.120E+04,-384.1,F6,0.88,,,C 42,NGC 7006,
GC,21 29 58.33,+12 10 01.2,+inf,,+6.20,+6.88,1.040E+04,-107.0,F3/4,2.00,,,M 15,NGC 7078,
GC,21 33 27.02,-00 49 23.7,+inf,,+6.47,+7.13,1.150E+04,-5.3,F4,2.12,,,M 2,NGC 7089,
GC,21 40 22.12,-23 10 47.5,+inf,,+7.19,+7.79,8.100E+03,-184.2,F3,2.06,,,M 30,NGC 7099,
GC,21 46 38.84,-21 15 09.4,+inf,,+11.99,+13.06,1.900E+04,+27.8,,3.44,,,Pal 12,
GC,23 06 44.44,+12 46 19.2,+inf,,+13.47,+14.23,2.600E+04,+25.2,,0.72,,,Pal 13,
GC,23 08 26.63,-15 36 41.4,+inf,,+11.29,+11.71,2.630E+04,-177.5,,2.30,,,NGC 7492,
