OCL-217     481   NGC 6939        095.88 +12.30 20 30.4 +60 28  O- 593  20 32 +60  192 181
OCL-218     483   NGC 7128        097.35 +00.42 21 42.3 +53 29  O-1496  21 32 +54  115 123
OCL-219     485   NGC 7127        097.91 +01.12 21 42.2 +54 23  O-1496  21 32 +54  116 171
OCL-220     487   Berkeley 92     097.94 +05.01 21 23.7 +57 17  O- 540  21 16 +60  136   7
OCL-221     489   NGC 7243        098.86 -05.55 22 13.3 +49 38  O- 599  22 06 +48  140 234
OCL-222     493   Trumpler 37     099.29 +03.73 21 37.5 +57 16  O- 540  21 16 +60   44  12
OCL-223     495   IC 1434         099.93 -02.70 22 08.6 +52 35  O- 588  22 10 +54  212  72
OCL-224     497   IC 1442         101.36 -02.20 22 14.6 +53 48  O- 588  22 10 +54  166 134
OCL-225     499   NGC 7245        101.37 -01.87 22 13.4 +54 05  O- 588  22 10 +54  173 152
OCL-226     501   NGC 7226        101.42 -00.60 22 08.7 +55 10  O- 588  22 10 +54  209 210
OCL-227     503   King 9          101.44 -01.83 22 13.6 +54 09  O- 588  22 10 +54  171 156
OCL-228     505   NGC 7296        101.89 -04.63 22 26.2 +52 02  O- 588  22 10 +54   69  46
OCL-229     507   NGC 7235        102.72 +00.78 22 10.8 +57 02  O- 588  22 10 +54  193 310
OCL-230     509   NGC 7772        102.75 -44.27 23 49.2 +15 59  O-1182  23 36 +18   62  39
OCL-231     511   Berkeley 94     103.10 -01.18 22 20.8 +55 36  O- 588  22 10 +54  116 235
OCL-232     513   Berkeley 96     103.67 -02.06 22 27.5 +55 09  O- 588  22 10 +54   62 212
OCL-233     515   CR 427          103.93 +14.34 20 58.9 +67 58  O- 546  20 48 +66  119 260
OCL-234     517   Berkeley 98     103.94 -05.67 22 41.1 +52 09  O- 812  22 48 +54  263  51
OCL-235     519   NGC 7023        103.99 +14.27 20 59.9 +67 58  O- 546  20 48 +66  114 260
OCL-236     521   NGC 7160        104.02 +06.45 21 52.3 +62 22  O- 594  22 00 +60  237 276
OCL-237     523   NGC 7261        104.04 +00.86 22 18.6 +57 50  O- 594  22 00 +60   60  35
OCL-238     525   NGC 7281        104.40 +00.34 22 22.9 +57 35  O- 581  22 10 +54  104 343
OCL-239     527   Berkeley 93     105.08 +07.32 21 54.8 +63 42  O-1165  21 40 +66  101  30
OCL-240     529   NGC 7129        105.26 +09.98 21 40.2 +65 52  O-1165  21 40 +66  174 146
OCL-241     531   NGC 7142        105.42 +09.45 21 44.7 +65 34  O-1165  21 40 +66  162 128
OCL-242     533   Berkeley 95     105.47 +01.19 22 26.5 +58 52  O- 594  22 00 +60    8  97
OCL-243     535   Berkeley 97     106.66 +00.37 22 37.6 +58 45  O- 974  22 44 +60  239  81
OCL-244     537   NGC 7380        107.08 -00.90 22 45.0 +57 50  O- 874  22 44 +60  184  31
OCL-245     541   Czernik 42      107.11 +01.11 22 37.9 +59 37  O- 874  22 44 +60  236 129
OCL-246     543   Berkeley 57     107.65 -02.25 22 53.2 +56 52  O- 812  22 48 +54  162 301
OCL-247     545   King 18         107.77 -01.03 22 50.1 +58 01  O- 874  22 44 +60  151  42
OCL-248     547   King 10         108.49 -00.40 22 52.9 +58 54  O- 874  22 44 +60  132  89
OCL-249     549   NGC 7429        108.95 +00.28 22 53.9 +59 43  O- 874  22 44 +60  128 134
OCL-250     551   NGC 7419        109.13 +01.14 22 52.3 +60 34  O- 874  22 44 +60  139 177
OCL-251     553   NGC 7686        109.52 -11.63 23 27.8 +48 51  O-1162  23 14 +48   91 195
OCL-252     555   CR 285 UMa      110.25 +44.86 14 40.5 +69 47
OCL-252.1   561.1 vandenB. RN 152 110.27 +11.37 22 12.3 +70 00
OCL-252.2   561.2 Aveni-Hunter    110.43 -12.65 23 34.8 +48 08
OCL-253     563   Dolidze 46      110.52 -04.92 23 19.6 +55 30  O- 595  23 26 +54  253 229
OCL-254     565   King 19         110.57 +00.15 23 06.2 +60 15  O- 874  22 44 +60   46 169
OCL-255     567   CR 471          110.88 +13.08 22 06.2 +71 45  O- 559  22 40 +72  325 130
OCL-256     569   NGC 7510        110.96 +00.05 23 09.4 +60 18  O- 874  22 44 +60   28 170
OCL-257     573   Markarjan 50    111.36 -00.20 23 13.1 +60 12  O-1173  23 28 +60  300 158
OCL-258     575   Stock 12        111.45 -08.47 23 34.8 +52 09  O- 595  23 26 +54  140  49
OCL-259     577   Stock 11        111.76 -05.37 23 30.5 +55 12  O- 595  23 26 +54  164 211
OCL-259.1   577.1 vandenB. RN 150 112.06 +13.90 22 11.9 +73 05
OCL-260     579   NGC 7654        112.76 +00.46 23 22.0 +61 19  O-1173  23 28 +60  236 217
OCL-261     583   Czernik 43      112.83 +00.13 23 23.5 +61 02  O-1173  23 28 +60  229 204
OCL-262     585   King 20         112.87 -02.83 23 31.0 +58 14  O 1173  23 28 +60  182  48
OCL-263     587   Berkeley 102    113.02 -04.82 23 36.3 +56 22  O- 595  23 26 +54  128 272
OCL-264     589   Berkeley 100    113.72 +02.40 23 24.4 +63 28  O-1173  23 28 +60  225 334
OCL-265     591   Czernik 44      113.90 +00.41 23 31.2 +61 38  O-1173  23 28 +60  179 236
OCL-266     593   Berkeley 103    114.56 -02.48 23 42.8 +59 02  O-1332  00 00 +60  322  97
OCL-267     595   Berkeley 101    114.58 +02.61 23 31.2 +63 56
