MCG-06-04-030 *          01 23 00 -36 05 15.   3   1            1  1.2   0.15   36 5  1.4   0.2   175          NE  ;29A                                                     S B:     L                                                                    1 2 031           0.6
MCG-06-04-031 *          01 23 03 -36 05 15.5  2   1            1  6.0   0.15   35 5                           N   ;29A                                                                                                                                   1 D 030           0.6
MCG-06-04-032            01 23 30 -35 07 15.   3   1 0.3   0.3  1  0.5   0.5    56                             N   ; HK
MCG-06-04-033            01 23 39 -37 29 16.   3   1               0.25  0.15   1                              NE     K
MCG-06-04-034 *          01 23 42 -37 31 14.5  2   1 0.3   0.3  2  0.8   0.5    46                             N3  ; H                                                                                                                                    3 3         B 3 7
MCG-06-04-035 *          01 24 18 -37 45 15.5  2   1 0.2   0.2  1  0.8   0.8    46                             N   ; HK                                                                                                                                                         1 2 16 1.0
MCG-06-04-036 *          01 24 54 -35 53 15.   3   1               0.3   0.3    1                       E4K                                                                                                                                                                     8 2 18 1.0
MCG-06-04-037 *NGC  568  01 25 42 -36 00 12.5  2   1 0.5   0.4  1  1.5   1.2          2.7   1.6 1 137   E                                                                   SO       L
MCG-06-04-038            01 26 12 -36 16 14.   3   1 0.4   0.35 1                                       E
MCG-06-04-039 *NGC  574  01 26 54 -35 53 14.   3   1 0.5   0.25 1  1.5   1.0  : 5  2  1.4   1.0     2          F   ;2#AF                                                    SBB      L
MCG-06-04-040            01 27 54 -36 13 15.5  2   1               0.2   0.2    1                              N      K
MCG-06-04-041 *          01 28 12 -33 19 12.70 1 192 0.4   0.3  2  1.0   0.8    5     1.2   1.0   145 1        F   ; H                                                      S 1      L
MCG-06-04-042            01 28 30 -38 01 14.5  2   1            2  1.0   0.7    3  1                           N8  ;2B     22#A
MCG-06-04-043 *          01 29 42 -33 23 14.5  2   1 0.3   0.3  1  0.6   0.5    3  1  2.2   2.2 1              N   ; DA                                                     SRA      L
MCG-06-04-044 *NGC  597  01 30 00 -33 45 14.5  2   1            1  1.0   0.8    3  1  1.8   1.8 1              L   ;2SA    2 LA                                             S C      L
MCG-06-04-045            01 31 24 -36 54 15.   3   1 0.3   0.2  1                                       E4
MCG-06-04-046 *NGC  612  01 31 48 -36 47 14.15 1 158 0.5   0.3  1  1.2   1.0    36 5  1.6   1.0   172      F   L   ; HP                                    R  L   P1        SO 3  A  L   9115 158   9049 158          0.50  22 1.02  22                                         1 2 17 1.0
MCG-06-04-047 *          01 31 48 -34 40 14.   3   1            2  1.3   0.3    3  4  1.9   0.4   164          FB  ;9#B  1                                                  S B1     L                                                                                          1 4 20 0.7
MCG-06-04-048            01 32 06 -33 02 16.   3   1               0.15  0.15   1                              N8
MCG-06-04-049            01 32 12 -33 08 15.5  2   1            1  0.15  0.1    6                              NE
MCG-06-04-050 *          01 32 36 -36 25 13.   3   1            1  1.1   0.3    2  3  1.5   0.5    76          F   ;2SA                                                     I        L   4827 194
MCG-06-04-051 *NGC  619  01 32 42 -36 47 14.   3   1            2  0.8   0.5    4  1  1.8   1.3   130          N   ;2#A  8                                                  SBB      L                                                                    1 D 052           3.0
MCG-06-04-052 *NGC  623  01 32 54 -36 47 13.5  2   1 0.5   0.4  1  1.2   0.6          2.2   1.5 1  94   E                                                                   SO       L                                                                    1 2 051           3.0
MCG-06-04-053            01 33 06 -33 03 15.   3   1               0.25  0.25   1                              N      K
MCG-06-04-054            01 33 30 -36 26 14.5  2   1               0.6   0.6    3  1                                 DC
MCG-06-04-055 *          01 34 00 -36 35 15.   3   1            2  0.6   0.6    4  1  1.4   1.3                L   ; LB    ,12B                                             S B:     L
