ESO101-005 163407.0-664842 15.72  22.93   .006   .003   .005   .141   .001   .88 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.19 9.990  9.990  18   .05   5.1 1 1
ESO101-008 163607.0-663000 15.42  22.57   .025   .022   .016   .452   .003  1.05  .133   .454   .56  .127   .331   .67  .248   .278  1.68  .825 -2.739  10   .03   3.4 1 2
ESO101-014 164405.0-623100 12.64  21.12   .023   .061   .074  1.797   .002   .87  .010   .063   .38  .020   .089   .64  .020   .043  1.24  .030   .076  14   .15 -13.2 1 3
ESO101-020 165321.0-623848 13.58  22.01   .014   .012   .023   .210   .003   .89 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.19 9.990  9.990  31   .07   4.0 1 2
ESO102-002 171643.0-650730 14.35  24.06   .012   .004   .010   .105   .007   .86 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.18 9.990  9.990  21   .04   8.0 1 2
ESO102-007 172442.0-635859 13.41  21.96   .016   .006   .009   .153   .000   .91  .049  -.183  9.99 9.990  9.990  9.99 9.990  9.990  1.16 9.990  9.990  35   .03   5.5 1 2
ESO103-035 183322.0-652818 14.78  21.22   .007   .006   .005   .000   .000   .98  .001  9.990   .56 9.990  9.990   .48 1.000  9.990  1.05 1.000  9.990   8   .06    .0 0 2
ESO103-039 183415.0-664435 15.38  23.34   .016   .007   .016   .263   .006   .86 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.18 9.990  9.990  14   .06   7.9 1 2
ESO104-002 184209.9-632451 15.25  21.59   .013   .013   .012  1.801   .023  1.02  .010  9.990   .47  .005  9.990  9.99 9.990  9.990  9.99 9.990  9.990  10   .06  -1.6 1 2
ESO104-007 184234.4-632448 13.36  22.65   .012   .037   .050  1.266   .004  1.05  .025  -.097   .63  .020  9.990  9.99 9.990  9.990  9.99 9.990  9.990  12   .37 -20.0 1 3
ESO104-008 184239.2-632151 15.01  23.02   .022   .033   .054   .000   .000  1.04 1.000  9.990  9.99 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990   8   .20  -2.0 0 3
ESO104-012 184318.3-631439 15.94  23.81   .087   .020   .021   .000   .000  1.36 1.000  9.990  9.99 9.990  9.990  1.08 1.414  9.990  -.01 1.414  9.990   8   .04   5.0 0 3
ESO104-014 184339.3-631623 16.54  22.72   .019   .012   .010   .000   .000  1.08 1.000  9.990   .46 1.000  9.990  9.99 9.990  9.990  9.99 9.990  9.990   6   .05   5.0 0 2
ESO104-051 192024.0-630400   .00    .00   .000   .000   .000   .000   .000   .00  .000   .000   .00  .000   .000   .00  .000   .011   .00  .000   .000   0   .00    .0 0 0
ESO105-004 192742.0-643111 13.64  21.95   .008   .015   .018   .973   .001  1.07  .000  9.990   .54 1.000  9.990  9.99 9.990  9.990  9.99 9.990  9.990  13   .12 -10.5 1 2
ESO105-012 194200.0-652212 14.96  20.08   .006   .006   .003   .000   .000  1.07 1.000  9.990   .34 1.000  9.990   .66 1.414  9.990  1.34 1.414  9.990   6   .06  -2.0 0 1
ESO105-020 195808.0-641305 16.14  23.77   .003   .003   .005   .096   .001   .89 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.19 9.990  9.990  14   .08   4.3 1 1
ESO107-004 205903.0-672241 12.74  22.03   .008   .020   .029  1.196   .005   .91  .007  -.014   .43  .008  -.044   .56  .021  -.065  1.03  .048  -.306  21   .20  -9.8 1 2
ESO107-014 210747.0-642559 15.97  25.12   .009   .006   .011   .143   .003   .91 9.990  9.990  9.99 9.990  9.990  9.99 9.990  9.990  1.20 9.990  9.990  11   .15   2.7 1 2
