Dataset,Rres,e_Rres,Nmeas,Wres,e_Wres,o_Wres,Bcorr,Vcorr,Rcorr,Icorr,Ucorr,WG,WZ,Ngal,WD
RSM-82,-0.04,0.24,336.0,-0.02,0.17,284.0,-0.01,-0.01,-0.02,-0.02,-0.02,0.3,1.0,237,1.0
RSS-82,0.0,0.0,0.0,0.0,0.03,2.8,0.0,0.0,0.0,0.0,0.0,0.7,1.0,1,1.0
SAD-82,0.05,0.06,207.0,0.04,0.05,187.4,0.04,0.04,0.0,0.0,0.04,1.0,1.0,170,1.0
SCH-82,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.54
VVT-82,-0.02,0.16,197.0,-0.02,0.1,153.6,-0.02,-0.03,0.0,0.0,-0.01,0.6,0.65,122,1.0
BLA-83,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1,1.0
BSS-83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,25,1.0
CAD-83,0.64,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,1.0,31,1.0
CAL-83,0.03,0.1,42.0,0.0,0.04,37.4,0.0,-0.01,0.0,0.0,0.03,1.0,1.0,41,1.0
DOT-83,0.08,0.27,10.0,-0.03,0.19,7.7,0.0,0.05,0.07,0.0,-0.01,0.35,1.0,10,1.0
GAB-83,-0.05,0.02,2.0,-0.04,0.02,1.3,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,1.0
HAS-83,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.0,1,1.0
HGG-83,-0.02,0.04,4.0,-0.02,0.04,4.0,-0.02,-0.03,-0.02,0.0,-0.06,1.0,1.0,1,1.0
KEE-83,-0.1,0.5,9.0,0.09,0.13,6.2,0.04,0.05,0.0,0.0,0.04,0.35,1.0,8,1.0
MMM-83,0.0,0.2,92.0,0.02,0.14,83.1,-0.0,-0.02,-0.02,-0.02,-0.02,0.5,0.9,45,1.0
PFM-83,-0.16,0.29,7.0,-0.17,0.06,5.2,-0.05,-0.05,0.0,0.0,-0.05,0.8,0.9,1,1.0
RAS-83,-0.11,0.0,1.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1,1.0
ROM-83,0.05,0.07,13.0,0.08,0.08,11.9,0.03,0.03,0.03,0.0,0.03,0.85,1.0,20,1.0
SSZ-83,-0.33,0.33,3.0,-0.22,0.28,2.8,0.0,-0.05,-0.05,-0.05,0.0,0.45,0.9,2,1.0
