Dataset,Bibcode,Text
MDS-04,1972MmRAS..77....1D,"McDonald (Shobbrook & Solheim), de Vaucouleurs, G., de Vaucouleurs, A. 1972 Mem. RAS 77, Part I, 1"
MDS-05,1972MmRAS..77....1D,"McDonald (Shobbrook & Solheim), de Vaucouleurs, G., de Vaucouleurs, A. 1972 Mem. RAS 77, Part I, 1"
MDS-06,1972MmRAS..77....1D,"McDonald (Shobbrook & Solheim), de Vaucouleurs, G., de Vaucouleurs, A. 1972 Mem. RAS 77, Part I, 1"
MDS-07,1972MmRAS..77....1D,"McDonald (Shobbrook & Solheim), de Vaucouleurs, G., de Vaucouleurs, A. 1972 Mem. RAS 77, Part I, 1"
MDS-08,1972MmRAS..77....1D,"McDonald (Shobbrook & Solheim), de Vaucouleurs, G., de Vaucouleurs, A. 1972 Mem. RAS 77, Part I, 1"
MDS-09,1972MmRAS..77....1D,"McDonald (Shobbrook & Solheim), de Vaucouleurs, G., de Vaucouleurs, A. 1972 Mem. RAS 77, Part I, 1"
MDS-10,1972MmRAS..77....1D,"McDonald (Shobbrook & Solheim), de Vaucouleurs, G., de Vaucouleurs, A. 1972 Mem. RAS 77, Part I, 1"
MDS-11,1972MmRAS..77....1D,"McDonald (Shobbrook & Solheim), de Vaucouleurs, G., de Vaucouleurs, A. 1972 Mem. RAS 77, Part I, 1"
PNS-87,1987A&A...173...49P,"Prugniel, Ph., Nieto, J.-L., Simien, F. 1987, A&A 173, 49"
PRU-89,1987..............P,"Prugniel, Ph., 1989, in Chemical and Dynamical Evolution of galaxies, Ferrini, F. (Edt), 476"
HE1-95,1996A&AS..118..111H,"Heraudeau, Ph., Simien, F. 1996, A&A 118, 111"
HE2-95,1996A&AS..118..111H,"Heraudeau, Ph., Simien, F. 1996, A&A 118, 111"
MIC-85,1985A&AS...59..205M,"Michard, R., 1985 A&AS 59, 205"
PDN-89,1989A&A...222....5P,"Prugniel, Ph., Davoust, E., Nieto, J.-L. 1989, A&A 222, 5"
POU-83,1983Priv..........P,"Poulain, P., Private communication"
POU-85,1985Priv..........P,"Poulain, P., Private communication"
POU-87,1987Priv..........P,"Poulain, P., Private communication"
HAM-87,1989AJ.....97..720H,"Hamuy, M., Maza, J. 1989, AJ 97, 720"
