MCG,n_MCG,OtherName,RAh,RAm,DE-,DEd,DEm,Mag,MajAxisIn,MinAxisIn,MajAxis,MinAxis,IntIn,IntOut,Incl
MCG-03-59-007,--,--,23,21.2,-,16,44,15.0,--,--,9.0,1.3,2,3,4
MCG-03-59-008,*,NGC 7656,23,21.9,-,19,21,14.0,2.0,2.0,13.0,11.0,1,4,--
MCG-03-59-009,--,IC 5321,23,23.7,-,18,15,14.0,4.0,3.0,10.0,6.0,1,3,1
MCG-03-59-010,--,IC 1491,23,26.8,-,16,35,15.0,--,--,5.0,2.5,--,2,2
MCG-03-60-001,*,--,23,32.7,-,17,42,14.0,3.0,1.5,12.0,4.0,1,3,--
MCG-03-60-002,--,NGC 7709,23,32.8,-,16,58,13.0,--,--,14.0,3.0,1,2,4
MCG-03-60-003,--,--,23,33.0,-,19,40,15.0,2.0,2.0,7.0,5.0,1,4,1
MCG-03-60-004,*,--,23,33.45,-,19,45,15.0,--,--,5.0,4.0,2,4,2
MCG-03-60-005,--,--,23,33.5,-,19,58,15.0,3.0,2.0,5.0,2.5,1,5,2
MCG-03-60-006,--,--,23,34.6,-,16,54,15.0,--,--,9.0,2.0,2,3,3
MCG-03-60-007,--,--,23,34.95,-,19,53,15.0,3.0,2.5,4.0,3.0,1,5,--
MCG-03-60-008,--,NGC 7717,23,35.1,-,15,23,13.0,--,--,10.0,8.0,2,4,2
MCG-03-60-009,*,--,23,35.3,-,19,51,15.0,--,--,4.0,4.0,2,3,1
MCG-03-60-010,--,NGC 7736,23,39.85,-,19,43,14.0,4.0,3.0,--,--,1,--,--
MCG-03-60-011,--,--,23,41.1,-,14,58,14.0,6.0,2.0,16.0,5.0,2,4,3
MCG-03-60-012,--,--,23,43.6,-,19,38,15.0,--,--,8.0,3.0,2,3,3
MCG-03-60-013,--,--,23,44.55,-,18,31,15.0,--,--,6.0,4.0,2,3,2
MCG-03-60-014,--,IC 1509,23,44.6,-,15,34,15.0,--,--,13.0,2.0,2,4,4
MCG-03-60-015,--,--,23,44.7,-,20,18,15.0,--,--,4.0,4.0,2,3,1
MCG-03-60-016,--,--,23,45.0,-,18,50,15.0,--,--,10.0,8.0,4,5,1
MCG-03-60-017,--,--,23,45.45,-,18,52,14.0,--,--,6.0,6.0,1,2,1
MCG-03-60-018,*,NGC 7759,23,46.3,-,16,48,14.0,4.0,3.0,8.0,6.0,1,4,--
MCG-03-60-019,*,--,23,46.3,-,16,48,15.0,--,--,5.0,1.5,2,3,3
MCG-03-60-020,--,--,23,46.4,-,19,57,14.0,--,--,7.0,5.0,2,3,2
MCG-03-60-021,--,NGC 7754,23,46.6,-,16,51,15.0,--,--,4.0,2.0,--,1,2
MCG-03-60-022,--,--,23,47.7,-,18,1,15.0,--,--,12.0,8.0,2,4,--
MCG-03-60-023,--,--,23,51.8,-,17,34,15.0,--,--,4.0,4.0,--,2,1
MCG-03-60-024,*,--,23,52.2,-,18,2,15.0,--,--,8.0,2.0,1,2,4
MCG-04-01-001,--,--,23,51.6,-,25,41,14.0,--,--,4.0,3.0,--,1,--
MCG-04-01-002,*,--,23,52.25,-,25,59,16.0,--,--,12.0,12.0,4,6,1
MCG-04-01-003,--,--,23,52.55,-,21,10,15.0,2.0,1.0,6.0,5.0,1,5,2
MCG-04-01-004,--,--,23,52.75,-,24,9,14.0,2.0,1.0,17.0,6.0,2,3,3
MCG-04-01-005,--,--,23,53.1,-,21,8,15.0,2.0,1.0,6.0,4.0,2,4,2
MCG-04-01-006,--,--,23,53.4,-,20,33,15.0,1.5,1.5,6.0,4.0,1,5,1
MCG-04-01-007,*,--,23,55.0,-,22,18,15.0,8.0,1.0,14.0,2.0,2,5,5
MCG-04-01-008,*,--,23,55.1,-,22,16,15.0,8.0,1.5,8.0,4.0,2,3,3
MCG-04-01-009,*,--,23,56.6,-,21,2,15.0,1.5,1.5,--,--,1,5,--
MCG-04-01-010,--,--,23,56.6,-,23,43,16.0,--,--,5.0,3.0,2,4,2
MCG-04-01-011,--,--,23,56.65,-,21,5,15.0,2.5,2.0,7.0,5.0,2,4,2
MCG-04-01-012,--,--,23,56.9,-,24,42,15.0,3.0,1.0,6.0,4.0,2,4,3
MCG-04-01-013,--,--,23,57.0,-,21,55,16.0,1.5,1.0,6.0,5.0,1,4,1
MCG-04-01-014,--,--,0,3.7,-,23,9,15.0,--,--,4.0,2.0,2,3,4
MCG-04-01-015,--,--,0,4.3,-,25,12,17.0,1.5,1.5,6.0,4.0,4,5,1
