We 1-8         |* 59- 1 2 | 19 48.9 +22 25 |059.30 -01.73| H   |
We 2-37        |*225+ 0 1 | 07 16.1 -10 53 |225.42 +00.45| U   |
We 2-262       |*116+ 0 1 | 23 52.3 +66 31 |117.08 +04.31| ?   |
WeSb 6         |*110- 1 1 | 23 13.1 +59 18 |110.66 -01.21| U   |
WhBe 1         |          | 18 37.1 -06 30 |025.52 +00.22|     |IRAS 18344-0632
Wray 15-12     |          | 08 03.2 -42 54 |258.41 -06.29|     |
Wray 16-2      |          | 07 24.2 -29 00 |242.35 -06.31| U   |ARO 235
Wray 16-3      |          | 07 28.0 -30 42 |244.26 -06.39|     |ARO 538
Wray 16-6      |          | 07 42.0 -31 46 |246.64 -04.28|     |ARO 541
Wray 16-7      |          | 07 46.8 -33 26 |248.59 -04.22| U   |ARO 543
Wray 16-9      |          | 07 55.6 -48 50 |262.89 -10.45|     |
Wray 16-13     |*246+ 2 1 | 08 08.6 -27 41 |246.13 +02.78|     |ARO 247,Sa 3-6
Wray 16-14     |          | 08 08.4 -50 33 |265.46 -09.54|     |
Wray 16-19     |*261- 4 1 | 08 21.1 -44 24 |261.44 -04.39| H   |ESO 259-03,Sa 2-25
Wray 16-24     |          | 08 38.0 -39 44 |259.50 +00.88|     |
Wray 16-26     |*256+ 3 1 | 08 41.2 -36 03 |256.95 +03.62|     |ESO 371-06,Sa 2-30
Wray 16-28     |*267- 3 1 | 08 43.5 -48 55 |267.37 -03.95|     |Sa 3-7
Wray 16-29     |          | 08 50.8 -52 36 |270.99 -05.36|     |ESO 165-06
Wray 16-31     |          | 08 52.7 -51 41 |270.46 -04.54|     |
Wray 16-42     |          | 09 19.6 -59 04 |278.53 -06.63|     |
Wray 16-45     |          | 09 24.1 -50 15 |272.75 +00.06|     |
Wray 16-50     |          | 09 32.7 -39 34 |266.44 +08.83|     |
Wray 16-53     |          | 09 38.0 -50 10 |274.32 +01.65|     |
Wray 16-55     |          | 09 39.6 -54 53 |277.63 -01.73|     |
Wray 16-58     |          | 09 46.9 -49 24 |274.90 +03.16|     |
Wray 16-61     |          | 09 52.1 -53 34 |278.17 +00.45|     |
Wray 16-73     |          | 10 35.6 -60 39 |287.03 -02.04|     |
Wray 16-99     |          | 11 39.3 -68 46 |296.45 -06.81|     |
Wray 16-102    |          | 11 56.3 -55 33 |295.13 +06.48| U   |
Wray 16-103    |          | 12 00.2 -49 26 |294.43 +12.59|     |
Wray 16-113    |*300- 2 2 | 12 28.6 -65 19 |300.55 -02.56|     |
Wray 16-129    |          | 13 26.1 -61 15 |307.09 +01.34| U   |
Wray 16-134    |          | 13 44.0 -55 20 |310.41 +06.78|     |
Wray 16-143    |*310- 3 1 | 14 00.3 -65 25 |310.02 -03.50| U   |
Wray 16-145    |          | 14 08.8 -57 05 |313.33 +04.23| * ? |
Wray 16-146    |          | 14 11.7 -64 17 |311.50 -02.76| * ? |
Wray 16-150    |*311- 6 1 | 14 19.0 -67 29 |311.19 -06.03| U   |Sa 3-25
Wray 16-155    |          | 14 33.1 -60 55 |314.97 -00.44|     |
Wray 16-158    |*315- 4 1 | 14 52.6 -64 02 |315.72 -04.22| U   |Sa 2-108
Wray 16-161    |*318- 2 3 | 15 05.5 -60 49 |318.57 -02.08|     |Sa 2-111
Wray 16-179    |          | 15 24.7 -51 37 |325.65 +04.37|     |
Wray 16-188    |          | 15 47.8 -35 28 |338.82 +14.82|     |
Wray 16-192    |*331+ 3 1 | 15 53.5 -48 43 |331.08 +03.94| U   |Sa 2-128
Wray 16-197    |          | 15 59.8 -57 30 |326.15 -03.38|     |
Wray 16-203    |          | 16 08.5 -39 03 |339.55 +09.43|     |
Wray 16-251    |*342- 2 2 | 17 07.5 -44 23 |342.95 -02.31|     |Sa 3-41
Wray 16-255    |          | 17 10.2 -32 59 |352.42 +04.06| H2? |
Wray 16-269    |          | 17 24.5 -34 42 |352.73 +00.65|     |
Wray 16-287    |          | 17 34.4 -38 09 |350.94 -02.91|     |
Wray 16-295    |          | 17 40.6 -34 31 |354.70 -02.02|     |
Wray 16-298    |          | 17 44.2 -32 02 |357.20 -01.35| * ? |
Wray 16-344    |*358- 4 2 | 17 59.9 -32 59 |358.06 -04.69| U   |Sa 3-107
Wray 16-358    |          | 18 03.7 -34 53 |356.78 -06.31| U   |
Wray 16-376    |          | 18 10.6 -39 53 |352.97 -09.87|     |
Wray 17-2      |*247-10 1 | 07 18.2 -34 55 |247.11 -10.12|     |ARO 535,Sa 3-4
Wray 17-3      |          | 07 19.1 -32 35 |245.08 -08.93|     |ARO 536
Wray 17-4      |          | 07 26.3 -34 57 |247.89 -08.67|     |ARO 537
Wray 17-5      |          | 07 28.0 -30 45 |244.31 -06.41|     |
Wray 17-6      |          | 07 35.4 -44 01 |256.90 -11.24| U   |
Wray 17-7      |          | 07 37.4 -30 08 |244.72 -04.34| U   |ARO 540
Wray 17-10     |          | 07 56.1 -35 42 |251.53 -03.72|     |ARO 544
Wray 17-11     |          | 07 59.5 -47 02 |261.65 -08.98|     |
Wray 17-11     |          | 09 59.7 -53 28 |279.00 +01.23|     |
Wray 17-12     |          | 07 59.3 -55 37 |269.21 -13.28|     |
Wray 17-13     |          | 08 00.4 -48 31 |263.02 -09.60|     |
Wray 17-14     |          | 08 01.4 -46 57 |261.74 -08.66|     |
Wray 17-15     |          | 08 14.6 -33 47 |251.93 +00.51|     |ARO 546
Wray 17-16     |          | 08 15.8 -25 59 |245.57 +05.05| U   |
Wray 17-17     |          | 08 15.9 -33 16 |251.66 +01.03|     |ARO 547
Wray 17-19     |          | 08 27.6 -38 54 |257.63 -00.24|     |
Wray 17-21     |*268- 3 1 | 08 46.6 -49 21 |268.03 -03.83|     |
Wray 17-22     |          | 08 56.2 -39 02 |261.17 +04.07|     |
Wray 17-23     |          | 09 05.9 -50 19 |270.79 -02.08|     |
Wray 17-24     |          | 09 07.1 -42 15 |264.96 +03.49|     |
Wray 17-26     |          | 09 13.7 -60 46 |279.26 -08.34|     |
Wray 17-27     |          | 09 16.8 -64 58 |282.62 -10.96|     |
Wray 17-28     |          | 09 23.2 -58 52 |278.72 -06.16|     |
Wray 17-29     |          | 09 24.5 -38 37 |264.60 +08.40|     |
Wray 17-30     |          | 09 24.5 -54 47 |275.97 -03.13|     |
Wray 17-32     |          | 09 37.1 -62 27 |282.45 -07.59|     |
Wray 17-33     |          | 09 38.6 -49 46 |274.12 +02.00|     |
Wray 17-35     |*279- 3 2 | 09 40.9 -56 58 |279.14 -03.17|     |ESO 167-02,Sa 3-11,VBRC 3
Wray 17-37     |          | 09 48.2 -48 33 |274.53 +03.95|     |
Wray 17-43     |          | 10 26.7 -60 56 |286.24 -02.84|     |
Wray 17-44     |          | 10 29.3 -59 50 |285.94 -01.73|     |
Wray 17-47     |          | 11 44.6 -61 12 |294.96 +00.64| U   |
Wray 17-48     |          | 11 45.7 -56 21 |293.87 +05.36|     |
Wray 17-49     |          | 11 47.6 -51 28 |292.92 +10.16|     |
Wray 17-50     |          | 11 56.3 -57 12 |295.49 +04.87|     |
Wray 17-51     |          | 12 00.4 -65 48 |297.73 -03.44| U   |
Wray 17-52     |          | 12 03.5 -54 24 |295.92 +07.81| U   |
Wray 17-53     |          | 12 10.1 -51 47 |296.44 +10.57|     |
Wray 17-54     |          | 12 16.5 -49 12 |297.08 +13.28|     |
Wray 17-55     |          | 12 17.4 -54 36 |297.96 +07.95| U   |
Wray 17-56     |          | 12 46.5 -63 25 |302.37 -00.54|     |
Wray 17-58     |          | 13 10.3 -59 45 |305.31 +03.03|     |
Wray 17-60     |          | 13 26.2 -63 34 |306.79 -00.96|     |
Wray 17-61     |          | 13 37.7 -64 01 |307.97 -01.59| H   |
Wray 17-62     |          | 13 37.7 -61 48 |308.37 +00.58|     |
Wray 17-63     |          | 13 40.4 -62 07 |308.62 +00.22|     |
Wray 17-64     |          | 14 08.8 -62 30 |311.73 -00.95|     |
Wray 17-65     |          | 14 15.6 -74 07 |308.70 -12.19| U   |
Wray 17-66     |          | 14 18.9 -59 53 |313.71 +01.15|     |
Wray 17-67     |          | 14 40.9 -65 51 |313.82 -05.32|     |
Wray 17-69     |          | 15 21.1 -57 57 |321.74 -00.65| H2? |
Wray 17-70     |          | 15 26.9 -58 59 |321.81 -01.93|     |
Wray 17-72     |          | 16 04.5 -62 23 |323.35 -07.43|     |
Wray 17-73     |          | 16 15.9 -61 03 |325.26 -07.38|     |
