351.6-06.2 |ESO-B.C+IDS 1986-07-13|b |    87.  |     6. :|   975.  |    11.  |   392.  |   323.  |    22.  |    26.
351.7-10.9 |ESO-B.C+CCD 1990-06-24|b |         |         |  1298.  |    12.  |   449.  |         |         |
351.9+09.0 |ESO-B.C+CCD 1988-03-12|b |    60.  |    14.  |  1225.  |    13.  |   581.  |     3.  |         |
351.9-01.9 |ESO-B.C+CCD 1989-05-28|b |         |         |  1259.  |    61.  |  1829.  |   419.  |    27.  |    41.
352.0-04.6 |ESO-B.C+CCD 1988-03-16|b |         |         |  1320.  |    47.  |  1015.  |  2021.  |    78.  |   135.
352.1+05.1 |ESO-B.C+IDS 1986-07-08|b |    23.  |         |   957.  |    33.  |   607.  |   384.  |    21.  |    25.
352.6+00.1 |ESO-B.C+IDS 1985-07-15|b |         |         |  1866.  |   266.  | 12557.  |  1954. :|   103. :|   206. :
352.6+03.0 |ESO-B.C+CCD 1988-03-16|b |         |         |  1075.  |   117.  |  2722.  |  2384.  |    63.  |   113.
352.8-00.2 |ESO-B.C+IDS 1985-07-18|b |         |         |  1575.  |    89.  |  3581.  |   984. :|    47.  |    69.
352.9+11.4 |ESO-B.C+CCD 1988-03-16|a |         |         |         |         |   100.  |    84.  |         |
352.9-07.5 |ESO-B.C+CCD 1987-07-22|b |         |     1.7 |*  138.  |    17.  |         |   115.  |     2.3 |     5.
353.2-05.2 |ESO-B.C+IDS 1985-07-19|b |         |         |   485.  |    52.  |   576.  |   928.  |    90.  |    77.
353.3+06.3 |ESO-B.C+IDS 1986-07-10|b |         |     4.  |   693.  |    20.  |   511.  |    86.  |     3.  |     5.
353.5-04.9 |ESO-B.C+CCD 1988-03-15|b |    54.  |    44.  |  1350.  |    15.  |   415.  |   165.  |     5.  |    12.
353.7+06.3 |ESO-B.C+CCD 1987-07-20|b |         |         |   209.  |    30.  |   580.  |   252.  |    33.  |    35.
353.7-12.8 |ESO-B.C+CCD 1989-06-05|b |   111.  |         |   319.  |         |   321.  |         |         |
354.2+04.3 |ESO-B.C+IDS 1984-04-29|b |         |         |   147.  |    37.  |  1026.  |   848.  |    27.  |    43.
354.4-07.8 |ESO-B.C+CCD 1988-08-09|b |    27.  |         |  1104.  |    20.  |   401.  |   250.  |    27.  |    23.
354.5+03.3 |ESO-B.C+IDS 1985-07-16|b |         |         |  2005.  |    87. :|  2318.  |   821.  |    52. :|
354.9+03.5 |ESO-B.C+IDS 1985-07-18|b |         |         |   249.  |    57.  |  1878.  |  1439.  |    84.  |   105.
355.1+02.3 |ESO-B.C+CCD 1989-05-31|a |         |         |         |         |   100.  |   102.  |         |
355.1-02.9 |ESO-B.C+IDS 1986-07-12|b |     6.  |    12.  |  1948.  |    35.  |   921.  |   164.  |     7.  |    14.
355.1-06.9 |ESO-B.C+IDS 1986-07-13|b |     6.  |     8.  |*  521.  |    18.  |   308.  |    92.  |     3.  |     6.
355.2-02.5 |ESO-B.C+IDS 1986-07-11|b |         |         |  1167.  |    35.  |   871.  |   263.  |     8.  |    15.
355.4-02.4 |ESO-B.C+IDS 1986-07-08|b |    14.  |         |  1065.  |    51.  |  1166.  |  1196.  |    43.  |    72.
355.4-04.0 |ESO-B.C+IDS 1986-07-13|b |    79.  |     9.  |  1400.  |     8.  |   427.  |   144.  |    18.  |    19.
355.6-02.7 |ESO-B.C+IDS 1986-07-08|b |         |         |  1498.  |    26. :|   997.  |   158.  |         |
355.7-03.0 |ESO-B.C+IDS 1986-07-12|b |         |         |  1038.  |    45.  |   986.  |   320.  |    22.  |    35.
355.7-03.4 |ESO-B.C+IDS 1986-07-08|b |         |         |  1356.  |    42.  |   899.  |    37.  |         |
355.7-03.5 |ESO-B.C+IDS 1986-07-08|b |         |         |   582.  |    27.  |   741.  |   144.  |     1.4 |     3.
355.9+02.7 |ESO-B.C+CCD 1989-06-01|b |         |         |  1403.  |         |  3433.  |  2776.  |   155.  |   309.
355.9+03.6 |ESO-B.C+IDS 1986-07-11|b |         |         |   274.  |    27.  |   957.  |   214.  |         |     3.
355.9-04.2 |ESO-B.C+IDS 1986-07-12|b |         |         |   153.  |    32.  |   602.  |   631.  |     9.  |    16.
356.1+02.7 |ESO-B.C+IDS 1984-04-29|b |         |         |   830.  |    89.  |  3936.  |   488. :|         |
356.1-03.3 |ESO-B.C+IDS 1985-07-31|b |         |         |   521.  |         |   609.  |  1154.  |   126.  |   120.
356.2-04.4 |ESO-B.C+CCD 1988-08-12|b |     5.  |     9.  |*  542.  |    25.  |   481.  |    56.  |     3.  |     7.
356.3-06.2 |ESO-B.C+IDS 1985-08-01|b |         |         |   491.  |    43.  |   395.  |   617.  |    72.  |    81.
356.5+01.5 |ESO-B.C+IDS 1985-07-18|b |         |         |   412.  |    58.  |  2239.  |   646.  |         |    78. :
356.5+05.1 |ESO-B.C+IDS 1985-07-15|b |         |         |   430.  |    30.  |   754.  |   431.  |    51. :|    31. :
356.5-02.3 |ESO-B.C+IDS 1984-04-30|b |         |         |         |         |  1380.  |   929.  |    48.  |    87.
356.5-03.6 |ESO-B.C+IDS 1985-07-19|b |         |         |   816.  |    77.  |  1459.  |   887.  |    83.  |   123.
356.5-03.9 |ESO-B.C+IDS 1984-04-30|b |         |         |    17.  |    14.  |   909.  |   502.  |    20.  |    37.
356.6-07.8 |ESO-B.C+IDS 1985-07-27|b |         |         |   555.  |    31. :|   373.  |   269.  |    39. :|    45. :
356.7-04.8 |ESO-B.C+CCD 1987-07-22|b |    21.  |         |   868.  |    18.  |   452.  |    35.  |     6.  |     6.
356.7-06.4 |ESO-B.C+IDS 1985-08-01|b |         |         |   404.  |    44.  |   282.  |   201.  |    63.  |    72.
356.8+03.3 |ESO-B.C+IDS 1985-07-18|b |         |         |    47.  |         |  1307.  |  1458.  |    22.  |    67.
356.8-05.4 |ESO-B.C+IDS 1985-08-01|b |    67.  |         |   639.  |    40. :|   425.  |   198.  |    41.  |    42.
356.9+04.4 |ESO-B.C+IDS 1986-07-09|b |    24. :|         |  1939.  |    34. :|  1239.  |   598.  |    23.  |    46.
356.9+04.5 |ESO-B.C+IDS 1986-07-09|b |    36.  |    17.  |  1907.  |    22.  |   659.  |   283.  |    19.  |    27.
356.9-05.8 |ESO-B.C+CCD 1989-06-01|b |         |    48.  |   422.  |    36.  |   887.  |   113.  |    12.  |    15.
357.0+02.4 |ESO-B.C+IDS 1985-07-18|b |         |         |  1186.  |    69. :|  1909.  |  1045.  |    74.  |    82.
357.1+01.9 |ESO-B.C+IDS 1986-07-11|b |         |         |   502.  |         |  1313.  |  2123.  |   262.  |   221.
357.1+03.6 |ESO-B.C+IDS 1986-07-10|b |         |         |   522.  |    35.  |   915.  |   156.  |     3.  |     7.
357.1+04.4 |ESO-B.C+CCD 1989-05-31|b |         |         |   966.  |         |  1613.  |         |         |
357.1-04.7 |ESO-B.C+CCD 1989-06-04|b |         |         |         |         |   708.  |   453.  |    11.  |    22.
357.1-06.1 |ESO-B.C+CCD 1987-07-20|b |    74.  |         |  1040.  |         |   469.  |   826.  |    70.  |    74.
357.2+01.4 |ESO-B.C+CCD 1988-08-13|b |         |         |   286.  |         |   678.  |         |         |
357.2+02.0 |ESO-B.C+IDS 1985-07-18|b |    10. :|         |  2081.  |    61.  |  1996.  |   529.  |    41.  |    73.
357.2+07.4 |ESO-B.C+IDS 1986-07-08|b |         |         |   956.  |    31.  |   856.  |    86. :|         |
357.2-04.5 |ESO-B.C+CCD 1987-07-22|b |         |     6.  |  1261.  |    23.  |   538.  |    35.  |     4.  |     6.
357.3+03.3 |ESO-B.C+IDS 1984-04-26|b |         |         |         |    15.  |  1155.  |   765.  |    37.  |    67.
357.3+04.0 |ESO-B.C+CCD 1988-03-16|b |         |         |   955.  |    67.  |  1318.  |    46.  |         |
357.4-03.2 |ESO-B.C+CCD 1988-08-14|b |    12.  |         |  1095.  |    41.  |   869.  |   668.  |    34.  |    58.
357.4-03.5 |ESO-B.C+IDS 1986-07-12|b |         |     3. :|   468.  |    28.  |   762.  |   174.  |     6.  |    11.
357.4-04.6 |ESO-B.C+CCD 1987-07-22|b |    33.  |         |   878.  |    37.  |   580.  |   391.  |    28.  |    41.
357.5+03.1 |ESO-B.C+IDS 1985-07-18|b |         |         |         |         |   880.  |   317.  |    59.  |    71.
357.5+03.2 |ESO-B.C+IDS 1985-07-16|b |    43. :|         |  1153.  |         |   779.  |   876.  |   104.  |   123.
357.6+01.0 |ESO-B.C+CCD 1989-05-30|a |         |         |    28.  |         |   100.  |   164.  |         |
357.6+01.7 |ESO-B.C+CCD 1988-08-10|b |         |         |  1286.  |    75.  |  1592.  |   463.  |    36.  |    71.
357.6+02.6 |ESO-B.C+CCD 1988-08-10|b |         |         |  1139.  |    88.  |  1967.  |  1518.  |    24.  |    71.
357.6-03.3 |ESO-B.C+IDS 1985-07-31|b |         |         |   104.  |    80.  |  1015.  |   628.  |    77. :|    80. :
357.9-03.8 |ESO-B.C+CCD 1989-05-29|b |    81.  |         |   605.  |         |  1053.  |         |         |
357.9-05.1 |ESO-B.C+IDS 1986-07-10|b |    20.  |         |   911.  |    33.  |   840.  |  1442.  |   116.  |   134.
358.0+02.6 |ESO-B.C+CCD 1988-08-14|a |         |         |    37.  |         |   100.  |         |         |
358.0+09.3 |ESO-B.C+IDS 1986-07-11|b |    17.  |         |   930.  |    22.  |   410.  |         |         |
358.0-05.1 |ESO-B.C+CCD 1989-06-01|b |    58.  |         |  1016.  |         |   415.  |  1340.  |   108.  |    95.
358.2+03.5 |ESO-B.C+IDS 1986-07-09|b |         |         |  1717.  |    50.  |  1483.  |   120.  |     7. :|     9. :
358.2+03.6 |ESO-B.C+IDS 1986-07-09|b |    15.  |     9.  |  1928.  |    36.  |   957.  |   209.  |    11.  |    18.
358.2+04.2 |ESO-B.C+IDS 1985-08-02|b |         |         |   596.  |    55. :|  1431.  |   710.  |    36.  |    50.
358.2-01.1 |ESO-B.C+IDS 1986-07-09|b |         |         |  1221.  |         |  2011.  |  2579.  |B  121. :|
358.3+01.2 |ESO-B.C+CCD 1989-06-04|b |         |         |  2616.  |   411.  | 12074.  | 11879.  |   484.  |   889.
358.3+03.0 |ESO-B.C+IDS 1986-07-09|b |     5. :|    14. :|  2337.  |    57.  |  1943.  |   503.  |    10. :|    29.
358.3-02.5 |ESO-B.C+CCD 1988-08-13|a |         |         |    84.  |         |   100.  |    81.  |         |
358.3-21.6 |ESO-B.C+IDS 1985-08-02|b |    39.  |     8.  |  1390.  |    13.  |   324.  |    52. :|     4.  |     6.
358.4+03.3 |ESO-B.C+CCD 1988-08-10|a |         |         |   114.  |         |   100.  |     8.  |         |
358.5+02.6 |ESO-B.C+CCD 1988-08-14|b |         |         |  1218.  |   116.  |  2020.  |   398.  |         |
358.5+02.9 |ESO-B.C+CCD 1989-05-31|b |         |         |  1888.  |    52.  |  2038.  |         |         |
358.5+03.7 |ESO-B.C+CCD 1988-08-14|a |         |         |    74.  |         |   100.  |         |         |
358.5+05.4 |ESO-B.C+CCD 1988-03-16|b |         |         |  2203.  |         |  3154.  |   724.  |   122.  |   105.
358.5-02.5 |ESO-B.C+CCD 1988-08-13|a |         |         |    80.  |         |   100.  |    10.  |         |
358.5-04.2 |ESO-B.C+CCD 1988-03-16|b |         |         |   540.  |    35.  |   896.  |   149.  |     4.  |     8.
358.5-07.3 |ESO-B.C+IDS 1986-07-12|b |    26.  |     7.  |  1118.  |    14.  |   320.  |   257.  |    15.  |    12.
358.6+01.8 |ESO-B.C+IDS 1985-07-18|b |         |         |  2700.  |   117.  |  3680.  |   902.  |         |   207.
358.6+07.8 |ESO-B.C+IDS 1986-07-10|b |         |         |   877.  |    21.  |   623.  |         |         |
358.6-05.5 |ESO-B.C+IDS 1985-07-27|b |         |         |   740.  |         |   599.  |   541.  |    74. :|    67. :
358.7+05.2 |ESO-B.C+IDS 1985-07-18|b |         |         |         |    15. :|  1873.  |  1433.  |    61.  |   110.
358.7-02.7 |ESO-B.C+CCD 1989-05-31|b |         |         |  1348.  |         |  1993.  |   369.  |         |
358.7-05.2 |ESO-B.C+IDS 1985-07-31|b |    14.  |    12.  |  1763.  |    20.  |   451.  |   112.  |     7.  |    12.
358.8+00.0 |ESO-B.C+CCD 1990-06-24|a |         |         |         |         |   100.  |         |         |    39.
358.8+03.0 |ESO-B.C+IDS 1985-07-18|b |    54.  |         |  1430.  |    42.  |  1282.  |   706.  |    57.  |    76.
358.8+04.0 |ESO-B.C+CCD 1988-08-14|a |         |         |    50.  |         |   100.  |    25.  |         |
358.8+04.1 |ESO-B.C+CCD 1988-03-16|a |         |         |   154.  |         |   100.  |    23.  |         |
358.9+03.2 |ESO-B.C+IDS 1986-07-09|b |     4. :|     5. :|  1268.  |    63.  |  1486.  |   979.  |    34.  |    67.
358.9+03.4 |ESO-B.C+IDS 1984-04-29|b |         |         |   449.  |    79.  |  2028.  |  1691.  |    41.  |    49.
358.9-00.7 |ESO-B.C+IDS 1984-04-30|b |         |         |    55.  |    15.  |   823.  |   403.  |     3.  |     8.
358.9-03.7 |ESO-B.C+IDS 1985-08-01|b |         |         |    99.  |    54.  |  1027.  |  1159.  |    49.  |    58.
359.0+02.8 |ESO-B.C+CCD 1988-08-14|a |         |         |         |         |   100.  |         |         |
359.0-04.1 |ESO-B.C+IDS 1985-08-01|b |         |         |   477.  |    40.  |   472.  |  1074.  |   102.  |    92.
359.0-04.8 |ESO-B.C+IDS 1986-07-10|b |    13.  |         |   849.  |    22.  |   571.  |   855.  |   116.  |   104.
359.1+15.1 |ESO-B.C+CCD 1988-03-13|b |         |         |   509.  |         |   612.  |         |         |
359.1-01.7 |ESO-B.C+IDS 1986-07-13|b |    27.  |     7. :|  1627.  |    39.  |  1214.  |  1232.  |    65.  |   115.
359.1-02.3 |ESO-B.C+IDS 1986-07-12|b |         |         |   806.  |    33.  |  1043.  |   172. :|    14.  |    18.
359.1-02.9 |ESO-B.C+IDS 1985-07-19|b |         |         |   485.  |    44.  |  1087.  |  1871.  |   123.  |   111.
359.2+04.7 |ESO-B.C+IDS 1985-07-18|b |         |         |         |         |  1276.  |   628.  |    35.  |    81.
359.2-33.5 |END                   |b |         |         |         |         |   920.  |   234.  |B   15. :|
359.3+01.4 |ESO-B.C+IDS 1986-07-11|b |         |         |   526.  |    84. :|  2011.  |  2025.  |    84. :|   116. :
359.3+03.6 |ESO-B.C+CCD 1989-06-01|b |    86.  |         |  1724.  |         |  2219.  |   619.  |         |
359.3-01.8 |ESO-B.C+IDS 1985-07-19|b |         |         |         |         |  3208.  |  2356.  |   133.  |   190.
359.3-03.1 |ESO-B.C+IDS 1985-07-19|b |         |         |    82.  |    37.  |  1528.  |   773.  |    18.  |    40.
359.4+02.3 |ESO-B.C+IDS 1986-07-09|b |         |         |         |         |  4365.  |  3132.  |   211.  |   422.
359.4-03.4 |ESO-B.C+IDS 1985-08-01|b |         |         |   843.  |         |  1200.  |   145.  |         |
359.5+02.6 |ESO-B.C+CCD 1988-08-14|a |         |         |         |         |   100.  |         |         |
359.6+02.2 |ESO-B.C+CCD 1988-08-13|a |         |         |    89.  |         |   100.  |         |         |
359.6-04.8 |ESO-B.C+IDS 1985-08-01|b |    96.  |         |   491.  |    34.  |   524.  |    40.  |    20. :|    33.
359.7-01.8 |ESO-B.C+IDS 1985-07-19|b |    24. :|         |  1715.  |    35.  |  1761.  |   139.  |    27.  |    29.
359.7-02.6 |ESO-B.C+CCD 1988-08-09|b |         |         |  1124.  |    69.  |  1603.  |   275.  |     9.  |    19.
359.7-04.4 |ESO-B.C+CCD 1989-05-29|b |         |         |   542.  |    41.  |   625.  |   326.  |    41.  |    17.
359.8+02.4 |ESO-B.C+IDS 1985-07-15|b |         |         |         |         |  3909.  |  4208.  |    64. :|    64. :
359.8+03.7 |ESO-B.C+IDS 1985-07-16|b |         |         |   442. :|         |  1285.  |         |         |
359.8+05.6 |ESO-B.C+IDS 1984-04-26|b |         |         |         |         |   682.  |   434.  |    19.  |    38.
359.8+06.9 |ESO-B.C+CCD 1989-06-01|b |         |         |  1217.  |    35.  |  1056.  |  1344.  |   107.  |   103.
359.8-07.2 |ESO-B.C+IDS 1986-07-10|b |     3.  |    12.  |  1211.  |    16.  |   371.  |         |         |
359.9+05.1 |ESO-B.C+IDS 1986-07-09|b |    34.  |         |  1044.  |    31.  |  1063.  |    63. :|         |
359.9-04.5 |ESO-B.C+CCD 1987-07-20|b |         |         |  1070.  |    51.  |  1147.  |   596.  |    19.  |    37.
359.9-05.4 |ESO-B.C+CCD 1989-06-01|b |    99.  |         |   556.  |         |   505.  |         |         |
