ID,RA2PI,DEC2PI,VMAG,SIZED,TYPE
NGC210,0.177063653,-0.2421208,10.9,0.083333333,Gxy
IC1571,0.177281819,-0.005764435,13.7,0.025,Gxy
NGC222,0.177710879,-1.280824416,12.2,0.01,OCL
NGC215,0.178089034,-0.981122295,13,0.018333333,Gxy
IC42,0.179325308,-0.269275215,14.8,0.011666667,Gxy
NGC231,0.179361669,-1.28024264,12.7,0.013333333,OCL
NGC213,0.179616197,0.28745088,13.5,0.025,Gxy
IC1572,0.179768913,0.283412382,99,0,NF
NGC216,0.180867016,-0.367309389,13.2,0.033333333,Gxy
NGC214,0.180932466,0.445049263,12.3,0.031666667,Gxy
NGC217,0.181361526,-0.17491108,12.4,0.045,Gxy
IC1573,0.184001336,-0.411761956,16,0.02,Gxy
NGC219,0.184081331,0.015785533,14.3,0.008333333,Gxy
NGC223,0.184415852,0.014767425,13.2,0.021666667,Gxy
IC43,0.184859457,0.517349527,13.2,0.026666667,Gxy
NGC230,0.185223067,-0.41240191,14.5,0.018333333,Gxy
IC45,0.185913926,0.517591934,99,0,*2
NGC227,0.185921199,-0.026669601,12.2,0.025,Gxy
NGC221,0.186299353,0.713243343,8.1,0.141666667,Gxy
NGC224,0.186481158,0.72027799,3.4,3.151666667,Gxy
NGC232,0.186582969,-0.411228661,13.3,0.015,Gxy
NGC235,0.187092024,-0.410869898,13.2,0.021666667,Gxy
NGC226,0.18717929,0.568633118,13.4,0.015,Gxy
NGC228,0.187222923,0.410210552,13.7,0.02,Gxy
IC47,0.187252012,-0.239813087,15.3,0.008333333,Gxy
IC46,0.187470178,0.475670095,13.9,0.01,Gxy
IC1574,0.187913783,-0.388267885,13.7,0.035,Gxy
NGC229,0.187964688,0.410317211,14.1,0.016666667,Gxy
NGC238,0.189484579,-0.8758547,12.5,0.033333333,Gxy
NGC236,0.189615479,0.051627809,13.5,0.02,Gxy
NGC237,0.18965184,-0.00218651,13,0.026666667,Gxy
NGC234,0.189971817,0.250323848,12.6,0.025,Gxy
NGC242,0.190037267,-1.281813436,12.1,0.015,OCL
IC1575,0.190066356,-0.071897869,13.2,0.025,Gxy
IC48,0.190124533,-0.142864896,13.1,0.016666667,Gxy
NGC225,0.190240888,1.078031701,7,0.25,OCL
NGC233,0.190277249,0.533842889,12.4,0.02,Gxy
IC49,0.191709874,0.032298287,13.7,0.025,Gxy
IC1576,0.192989782,-0.438237631,14.7,0.011666667,Gxy
IC1578,0.193862447,-0.437665551,14.5,0.013333333,Gxy
NGC239,0.194713295,-0.06562438,13.3,0.016666667,Gxy
NGC240,0.196487713,0.106688099,13.7,0.02,Gxy
NGC248,0.19809487,-1.280727453,99,0.016666667,Nb
NGC249,0.198662102,-1.275491465,13.8,0.033333333,Nb
IC1579,0.198691191,-0.46363702,14.1,0.015,Gxy
IC1581,0.199723844,-0.452379646,15.4,0.015,Gxy
NGC244,0.199731116,-0.272222882,12.9,0.02,Gxy
NGC256,0.200225626,-1.282938204,12.7,0.01,OCL
NGC243,0.200763769,0.522895796,13.7,0.015,Gxy
NGC245,0.201112835,-0.030077841,12.3,0.021666667,Gxy
IC50,0.20112738,-0.165864457,14.1,0.011666667,Gxy
IC1582,0.201934594,-0.423761094,15.1,0.018333333,Gxy
IC1580,0.202261844,0.522503097,99,0,*2
IC51,0.202472738,-0.234596492,12.8,0.023333333,Gxy
NGC261,0.202741809,-1.275903557,13,0.031666667,Nb
NGC218,0.20303997,0.634000547,12.6,0.025,Gxy
NGC246,0.20531617,-0.207194823,10.9,0.068,PN
NGC331,0.205563425,-0.047666881,14.6,0.013333333,Gxy
NGC247,0.20567978,-0.362330353,9.1,0.32,Gxy
IC1583,0.205817952,0.402725029,14.9,0.008333333,Gxy
NGC265,0.205883402,-1.282419453,12.2,0.016666667,OCL
IC1585,0.20610884,0.402371115,14.6,0.013333333,Gxy
NGC250,0.20623974,0.138055544,13.8,0.018333333,Gxy
IC1584,0.206421545,0.485696042,13.6,0.026666667,Gxy
NGC254,0.207076044,-0.548416388,11.7,0.043333333,Gxy
NGC188,0.207257849,1.488038631,8.1,0.25,OCL
NGC253,0.207483287,-0.441350135,7.2,0.483333333,Gxy
NGC255,0.20851594,-0.200160176,11.9,0.051666667,Gxy
NGC251,0.208995906,0.342031204,13.2,0.04,Gxy
IC1586,0.209184983,0.390488331,14,0.005,Gxy
NGC257,0.209555866,0.14480415,12.6,0.031666667,Gxy
NGC252,0.209563138,0.482118117,12.4,0.023333333,Gxy
NGC267,0.209650404,-1.278875465,99,0.041666667,OCL
NGC259,0.209672221,-0.048447431,12.8,0.048333333,Gxy
NGC258,0.210370353,0.482719286,14.2,0.008333333,Gxy
NGC264,0.210959401,-0.667316943,13.5,0.018333333,Gxy
NGC269,0.210966673,-1.283369688,13.3,0.01,OCL
IC52,0.211163023,0.071417903,14.5,0.016666667,Gxy
NGC260,0.21197751,0.483315607,13.5,0.013333333,Gxy
IC1587,0.212581103,-0.411228661,14.3,0.023333333,Gxy
NGC262,0.212864719,0.557763596,13.1,0.018333333,Gxy
NGC263,0.212959258,-0.228764184,14.3,0.011666667,Gxy
NGC266,0.217278947,0.563348649,11.6,0.05,Gxy
NGC268,0.218849744,-0.090650462,13.1,0.026666667,Gxy
NGC270,0.220522351,-0.151000069,12.9,0.028333333,Gxy
IC53,0.221125944,0.185019445,13.9,0.008333333,Gxy
NGC271,0.22121321,-0.033345485,12,0.036666667,Gxy
IC54,0.221569549,-0.039943799,99,0,*2
NGC273,0.221685904,-0.120175615,12.9,0.035,Gxy
IC1588,0.222362219,-0.411175331,14.9,0.011666667,Gxy
NGC274,0.222660379,-0.123162068,11.8,0.023333333,Gxy
NGC275,0.222856729,-0.12331236,12.5,0.025,Gxy
NGC290,0.223598494,-1.276926514,12,0.013333333,OCL
NGC277,0.223780299,-0.15003529,13.7,0.023333333,Gxy
NGC272,0.224420253,0.625206027,8.5,0.083333333,*Grp
IC56,0.224711141,-0.224177846,14.3,0.011666667,Gxy
IC55,0.225605622,0.134724874,14.1,0.011666667,Gxy
IC1589,0.226841897,-0.600776265,99,0,*2
NGC278,0.227220052,0.829918604,10.8,0.035,Gxy
NGC276,0.227365496,-0.395845522,14.7,0.016666667,Gxy
NGC279,0.227540029,-0.038717221,12.7,0.026666667,Gxy
NGC280,0.229089009,0.425002217,13.3,0.028333333,Gxy
NGC292,0.229656241,-1.270599695,2.3,5.318333333,Gxy
NGC282,0.229947129,0.53474949,13.7,0.016666667,Gxy
NGC289,0.229954401,-0.544639689,11,0.085,Gxy
NGC288,0.230201656,-0.464213948,8.1,0.216666667,GCL
IC1590,0.230383461,0.988409044,99,0,OCL
NGC281,0.230805249,0.988292689,99,0.583333333,Nb
NGC294,0.231670642,-1.280732301,12.7,0.013333333,OCL
