Name,Type,Class,RA 2000,Decl 2000,Size,PA,V Mag,B Mag,Surf Br,Con,NGC,WH
NGC 0740,GX,SBb,01 56 54.9,+33 00 55,1.6x0.4,137.0,14.0,14.8,13.3,Tri,"F,L,cE",II 221?
NGC 0762,GX,SBa,01 56 57.7,-05 24 11,1.5x1.2,25.0,13.5,14.3,14.0,Cet,"vF,S,lE,vglbM",III 464
NGC 0750,GX,E,01 57 32.4,+33 12 37,1.7x1.3,,11.9,12.9,12.7,Tri,"cB,pL,R,P w 751,25''",II 222
NGC 0752,OC,III 1 m,01 57 48,+37 51.0,50.0,,5.7,,,And,"Cl,vvL,Ri,*L & S,C",VII 32
NGC 0773,GX,Sa,01 58 52.0,-11 30 53,1.4x0.7,0.0,13.2,14.0,13.2,Cet,"cF,pL,E0,glbM",III 468
NGC 0772,GX,Sb,01 59 19.8,+19 00 30,7.2x4.3,130.0,10.3,11.1,13.9,Ari,"B,cL,R,gbM,r",I 112
NGC 0774,GX,S0,01 59 34.7,+14 00 29,1.5x1.2,165.0,13.0,14.0,13.5,Ari,"vF,stellar",III 214
NGC 0779,GX,Sab,01 59 42.3,-05 57 51,4.0x1.2,160.0,11.2,12.0,12.7,Cet,"cB,L,mE162,mbM",I 101
NGC 0781,GX,S,02 00 09.0,+12 39 22,1.5x0.4,13.0,13.0,14.0,12.2,Ari,"eF,stellar",III 215
NGC 0777,GX,E2,02 00 14.9,+31 25 46,2.5x2.0,155.0,11.5,12.5,13.2,Tri,"pB,pL,R,glbM",II 223
NGC 0780,GX,,02 00 35.2,+28 13 31,1.6x0.9,170.0,13.4,14.6z,13.6,Tri,"vF,vS,E,3*p",III 583
NGC 0788,GX,Sa,02 01 06.4,-06 48 57,1.9x1.4,115.0,12.1,13.0,13.0,Cet,"pF,pS,R,bM",II 435
NGC 0790,GX,S0,02 01 21.6,-05 22 15,1.3x1.3,,12.7,13.5,13.1,Cet,"cF,cS,R,bM",III 433
NGC 0794,GX,E-S0,02 02 29.3,+18 22 23,1.3x1.1,45.0,12.7,13.8,13.0,Ari,"vF,cS,stellar",III 207
NGC 0797,GX,Sa,02 03 28.0,+38 07 01,1.6x1.3,65.0,12.6,13.6,13.3,And,"vF,S,iR,sbM,* nr",III 566
NGC 0803,GX,Sb,02 03 44.7,+16 01 52,3.0x1.3,8.0,12.6,13.2,13.9,Ari,"vF,S,iR,glbM,*10p",III 208
NGC 0807,GX,E,02 04 55.7,+28 59 16,1.8x1.3,145.0,12.5,13.5,13.4,Tri,"vF,vS,iR,bet 2* n&sp",III 151
NGC 0821,GX,E2,02 08 21.1,+10 59 41,2.6x1.6,25.0,10.7,11.7,12.2,Ari,"pB,vS,vlE,svmbM,* np",I 152
NGC 0818,GX,Sc,02 08 44.5,+38 46 38,3.0x1.3,113.0,12.5,13.2,13.8,And,"pB,cL,lE,mbM",II 604
NGC 0827,GX,S,02 08 56.3,+07 58 17,2.2x0.8,85.0,12.7,13.7,13.2,Cet,"vF,S,E,bM,am st",III 227
NGC 0833,GX,Sap,02 09 20.8,-10 07 59,1.5x0.7,85.0,12.7,13.7,12.6,Cet,"F,S,R,1st of 4",II 482
NGC 0835,GX,Sabp,02 09 24.6,-10 08 10,1.3x1.0,,12.1,13.1,12.3,Cet,"F,S,R,2nd of 4",II 483
NGC 0838,GX,Irp-,02 09 38.4,-10 08 47,1.1x0.9,85.0,13.0,13.6,12.8,Cet,"vF,vS,R,3rd of 4",II 484
NGC 0839,GX,S0p,02 09 42.7,-10 11 01,1.4x0.7,85.0,13.1,13.9,13.0,Cet,"vF,pS,R,4th of 4",II 485
NGC 0828,GX,Sap,02 10 09.6,+39 11 26,2.9x2.2,145.0,12.3,13.2,14.1,And,"pB,S,iR,D* f 15''",II 605
NGC 0834,GX,S,02 11 01.4,+37 40 01,1.1x0.5,20.0,13.1,13.8,12.3,And,"vF,S,lE",III 567
NGC 0850,GX,S0-a,02 11 13.6,-01 29 08,1.1x1.1,85.0,12.9,13.9,13.0,Cet,"eF,eS,iF",III 259
NGC 0841,GX,,02 11 17.4,+37 29 50,1.8x1.0,135.0,12.6,13.4,13.1,And,"pB,vS,mbMN=*13,14",III 604
NGC 0853,GX,Sm:,02 11 41.3,-09 18 20,2.0x1.4,70.0,12.7,13.5,13.7,Cet,"F,S,E",II 486
NGC 0855,GX,E,02 14 03.7,+27 52 38,2.6x1.0,67.0,12.6,13.3,13.6,Tri,"F,S,lE90,bM",II 613
NGC 0863,GX,Sa,02 14 33.6,-00 46 00,1.1x1.0,,13.0,13.9,12.9,Cet,"vF,R,bM,stellar",III 260
NGC 0864,GX,Sc,02 15 27.8,+06 00 09,4.7x3.5,20.0,10.9,11.4,13.8,Cet,"eF,cL,R,gbM",III 457
NGC 0873,GX,Scp,02 16 32.4,-11 20 56,1.7x1.2,145.0,12.4,13.2,13.0,Cet,"F,pL,R,vglbM",II 474
NGC 0867,Dup,,02 17 04.8,+01 14 39,,,,,,Cet,"eF,vS,R,bM",III 2
NGC 0871,GX,SBc,02 17 10.7,+14 32 52,1.2x0.5,4.0,13.6,14.2,12.8,Ari,"vF,vS,E,*10 sf 5'",III 201
NGC 0877,GX,Sc,02 17 59.4,+14 32 40,2.4x1.8,140.0,11.9,12.6,13.4,Ari,"pF,pL,lE,pgbM,*9 4' sf",II 246
NGC 0881,GX,Sc,02 18 45.2,-06 38 20,2.2x1.5,140.0,12.4,13.2,13.6,Cet,"F,pS,E,bM,2or3* nr",II 436
NGC 0869,OC,I 3 r,02 19 04,+57 08.1,30.0,,3.5,,,Per,"Cl,vvL,vRi,*7...14",VI 33
NGC 0883,GX,E-S0,02 19 05.2,-06 47 29,1.6x1.2,100.0,12.4,13.2,13.0,Cet,"pF,pS,vlE,bM,D* nr",II 437
NGC 0887,GX,Sc,02 19 32.6,-16 04 12,1.8x1.4,5.0,12.0,12.8,12.9,Cet,"F,S,iR,pgbM",III 486
NGC 0895,GX,Sbc,02 21 36.2,-05 31 14,3.6x2.6,65.0,11.7,12.3,14.0,Cet,"F,vL,iR,gbM,Dneb w 894",II 438
NGC 0890,GX,E4,02 22 01.0,+33 15 58,2.5x1.7,55.0,11.2,12.2,12.7,Tri,"B,S,R,bM,3F* sp",II 225
NGC 0884,OC,I 3 r,02 22 32,+57 08.6,30.0,,3.6,,,Per,"Cl,vL,vRi,ruby*M",VI 34
NGC 0891,GX,Sb,02 22 33.4,+42 21 03,13.5x2.5,22.0,9.9,10.8,13.6,And,"B,vL,vmE22",V 19
NGC 0907,GX,SBd,02 23 01.8,-20 42 43,1.8x0.6,81.0,12.6,13.2,12.6,Cet,"F,S,E90,gbM",III 224
NGC 0908,GX,Sc,02 23 04.8,-21 14 04,6.0x2.6,75.0,10.2,10.8,13.0,Cet,"cB,vL,E",I 153
NGC 0898,GX,Sb,02 23 20.3,+41 57 05,1.9x0.5,170.0,12.9,13.8,12.7,And,"eF,vS,lE",III 570
NGC 0922,GX,Scp,02 25 04.7,-24 47 25,1.9x1.6,,12.1,12.5,13.2,For,"cF,pL,R,gpmbM",III 239
NGC 0910,GX,S0,02 25 26.8,+41 49 26,2.0x2.0,,12.2,13.2,13.7,And,"vF,pS,stellar",III 571
NGC 0896,EN,,02 25 28,+62 01 09,27x13,,,,,Cas,"eF,pL,iF",III 695
NGC 0924,GX,S0,02 26 46.8,+20 29 51,2.3x1.3,53.0,12.4,13.4,13.4,Ari,"eF,vS,iR",III 474
NGC 0925,GX,SBc,02 27 17.0,+33 34 43,10.5x5.9,102.0,10.1,10.7,14.4,Tri,"cF,cL,E,vgbM,2*13 np",III 177
NGC 0936,GX,SBa,02 27 37.5,-01 09 19,4.7x4.1,135.0,10.1,11.1,13.2,Cet,"vB,vL,R,mbMN,p of 2",IV 23
NGC 0932,GX,Sa,02 27 54.7,+20 19 57,1.9x1.6,,12.4,13.3,13.5,Ari,"F,S,lE,3* inv",II 489
NGC 0941,GX,Sc,02 28 27.8,-01 09 05,2.6x1.9,170.0,12.4,12.9,14.0,Cet,"vF,cL,R,f of 2",III 261
NGC 0945,GX,SBbc,02 28 37.3,-10 32 21,2.4x2.0,,12.1,12.8,13.6,Cet,"vF,L,iR,glbM",II 487
NGC 0955,GX,Sab,02 30 33.3,-01 06 31,2.8x0.7,19.0,12.0,12.9,12.6,Cet,"pB,S,E,psbM",II 278
NGC 0958,GX,SBbc,02 30 42.7,-02 56 22,2.9x1.0,10.0,12.1,12.9,13.2,Cet,"pF,ilE,bM",II 237
NGC 0949,GX,S,02 30 48.8,+37 08 12,2.4x1.3,145.0,11.8,12.4,12.9,Tri,"cB,L,E,vgbM",I 154
NGC 0977,GX,Sa,02 33 03.4,-10 45 35,1.7x1.4,65.0,12.7,13.5,13.5,Cet,"eF,pS,R,vlbM,am sc st",III 472
NGC 0972,GX,Sc,02 34 13.4,+29 18 43,3.3x1.7,152.0,11.4,12.3,13.2,Ari,"pB,cL,lE,gmbM,3*s",II 211
NGC 0980,GX,S0,02 35 18.6,+40 55 35,1.7x0.9,110.0,13.0,14.0,13.4,And,"vF,pS,sp of 2",III 572
NGC 0982,GX,Sa,02 35 24.9,+40 52 11,1.5x0.6,132.0,12.5,13.4,12.2,And,"F,S,nf of 2",III 573
NGC 0991,GX,SBcd,02 35 32.2,-07 09 16,2.9x2.5,60.0,11.7,12.4,13.7,Cet,"vF,cL,iF,vlbM",III 434
NGC 0990,GX,E,02 36 18.2,+11 38 32,1.8x1.5,,12.5,13.5,13.5,Ari,"F,S,R,psbM",III 557
NGC 0987,GX,SB0-a,02 36 49.6,+33 19 38,1.3x1.1,30.0,12.4,13.4,12.7,Tri,"F,S,vlE,bM,r,2*14 np",III 161
NGC 1022,GX,SB0/a,02 38 32.6,-06 40 39,2.7x2.7,,11.3,12.1,13.3,Cet,"cB,pL,R,mbM,*11 nf 2'",I 102
NGC 1024,GX,Sab,02 39 11.9,+10 50 49,3.9x1.4,155.0,12.1,13.1,13.8,Ari,"pF,S,lE,bM,*11 nf 1'",II 592
NGC 1012,GX,S0/a,02 39 14.9,+30 09 05,2.5x1.1,24.0,12.0,13.0,13.0,Ari,"F,pS,iR,bM,st inv",III 152
NGC 1003,GX,Sc,02 39 16.9,+40 52 20,5.5x1.9,97.0,11.5,12.0,13.8,Per,"pF,L,E90,mbM,r",II 238=III 198
NGC 1032,GX,Sa,02 39 23.6,+01 05 37,3.3x1.1,68.0,11.6,12.6,12.9,Cet,"pB,S,vlE,bM,3*trapezoid",II 5
NGC 1035,GX,Scd,02 39 29.0,-08 07 57,2.2x0.7,150.0,12.2,12.9,12.6,Cet,"pF,L,mE,r,*17 att sf",II 284
NGC 1030,GX,S?p,02 39 50.8,+18 01 28,1.6x0.7,8.0,13.2,14.2,13.1,Ari,"vF,iE",III 581
NGC 1023,GX,E7p,02 40 23.8,+39 03 48,8.7x3.0,87.0,9.4,10.4,12.8,Per,"vB,vL,vmE,vvmbM",I 156
NGC 1036,GX,P,02 40 29.1,+19 17 50,1.4x1.0,5.0,13.2,13.8,13.5,Ari,"F,S,R,lbM",III 475
NGC 1045,GX,S0-p,02 40 29.1,-11 16 39,2.2x1.1,55.0,12.1,12.9,12.9,Cet,"F,S,R,bM",II 488
NGC 1052,GX,E2,02 41 04.7,-08 15 21,3.0x2.1,120.0,10.5,11.4,12.5,Cet,"B,pL,R,mbM*12",I 63
NGC 1044,GX,S0p,02 41 06.1,+08 44 16,0.6x0.6,,13.2,14.4,11.8,Cet,"vF,vS,p of 2,*10p",III 228
NGC 1046,GX,E-S0,02 41 12.8,+08 43 09,0.3x0.3,,13.8,14.8,,Cet,"eF,vS,f of 2",III 229
NGC 1055,GX,Sb,02 41 45.2,+00 26 31,7.6x2.7,105.0,10.6,11.4,13.7,Cet,"pF,cL,IE80,bM,*11n1'",I 1=II 6
NGC 1027,OC,III 2 p,02 42 35,+61 35.7,20.0,,6.7,,,Cas,"Cl,L,SC st,one10m",VIII 66
NGC 1056,GX,Sa:,02 42 48.4,+28 34 26,2.3x1.1,160.0,12.4,13.3,13.3,Ari,"F,S,R,psbM",III 584
NGC 1060,GX,E-S0,02 43 15.1,+32 25 30,2.3x1.7,75.0,11.8,13.0,13.2,Tri,"F,pL,R,lbM,*F46s,3's",III 162
NGC 1070,GX,Sb,02 43 22.2,+04 58 05,2.3x1.9,175.0,11.9,12.7,13.4,Cet,"pF,S,iR,gbM",II 273
NGC 1058,GX,Sc,02 43 29.8,+37 20 27,3.0x2.8,,11.2,11.8,13.4,Per,"pF,cL,R,glbM",II 633
NGC 1073,GX,Sc,02 43 40.3,+01 22 33,4.9x4.5,15.0,11.0,11.5,14.2,Cet,"vF,L,lbM,er",III 455
NGC 1066,GX,[E],02 43 49.9,+32 28 30,1.7x1.6,,13.3,14.2,14.3,Tri,"vF,pL,R,lbM,s of 2",III 163
NGC 1084,GX,Sc,02 45 59.8,-07 34 42,3.2x1.8,35.0,10.7,11.3,12.5,Eri,"vB,pL,E,gpmbM",I 64
NGC 1097,GX,SBb,02 46 18.9,-30 16 28,9.3x6.3,130.0,9.5,10.2,13.8,For,"vB,L,vmE151,vbMN",V 48
NGC 1087,GX,Sc,02 46 25.1,-00 29 55,3.7x2.2,5.0,10.9,11.5,13.1,Cet,"pB,cL,lE,mbM",II 466
NGC 1090,GX,S-,02 46 33.9,-00 14 50,4.0x1.7,102.0,11.8,12.5,13.8,Cet,"vF,pL,iR,bM",II 465
NGC 1088,GX,S0-a,02 47 04.0,+16 12 00,1.1x0.6,105.0,13.7,14.8z,13.1,Ari,"vF,S,iF",III 582
NGC 1094,GX,Sab,02 47 27.8,-00 17 06,1.3x1.0,85.0,12.5,13.4,12.6,Cet,"vF,S,R,2S * p",III 462
NGC 1114,GX,Sbc,02 49 07.2,-16 59 39,1.5x0.8,8.0,12.8,13.6,12.8,Eri,"pF,pL,pmE,glbM",III 449
NGC 1125,GX,S0/a,02 51 40.4,-16 39 02,1.8x0.9,60.0,12.6,13.4,13.0,Eri,"vF,S,lE,gbM",III 450
NGC 1123,Dup,,02 52 51.1,+42 12 20,,,,,,Per,"cF,S,iR,vgbM,r",II 601
NGC 1134,GX,S,02 53 41.2,+13 00 53,2.5x0.9,148.0,12.1,13.1,12.8,Ari,"F,S,iR,R",II 254
NGC 1129,GX,cD,02 54 27.3,+41 34 46,2.9x2.1,90.0,12.5,13.5,14.4,Per,"cF,pS,iR,vglbM,D or F*,sp",II 602
NGC 1140,GX,Imp,02 54 33.4,-10 01 42,1.9x1.2,6.0,12.5,12.8,13.2,Eri,"pB,S,R,stellar",II 470
NGC 1138,GX,SB0,02 56 36.5,+43 02 50,1.1x0.9,,12.8,13.8,12.6,Per,"vF,vS,R,gbM,2S* triangle",III 580
NGC 1153,GX,E-S,02 58 10.2,+03 21 43,1.3x1.2,45.0,12.4,13.4,12.7,Cet,"F,vS,ilE,sbM,er",II 274
NGC 1162,GX,E0:,02 58 55.9,-12 23 55,1.3x1.3,,12.5,13.5,12.9,Eri,"F,R,glbM,stellar",III 469
NGC 1156,GX,Ir,02 59 42.3,+25 14 15,3.5x2.5,25.0,11.7,12.3,13.9,Ari,"pB,cL,pmE0,bet 2*",II 619
NGC 1160,GX,Sc,03 01 13.2,+44 57 18,1.9x0.9,50.0,12.8,13.5,13.3,Per,"F,E",III 199
NGC 1161,GX,S0,03 01 14.2,+44 53 50,2.8x2.0,23.0,11.0,12.1,12.8,Per,"F,pS,lE,sbM",II 239
NGC 1172,GX,S0-,03 01 36.0,-14 50 12,2.3x1.8,25.0,11.9,12.7,13.3,Eri,"pF,pL,R,psbM",II 502
NGC 1167,GX,S0,03 01 42.4,+35 12 20,2.8x2.3,70.0,12.4,13.4,14.3,Per,"vF,pL,R,spmbM",III 178
NGC 1187,GX,Sc,03 02 37.4,-22 52 03,5.5x4.1,130.0,10.8,11.3,14.0,Eri,"pF,cL,pmE,gbM*16,r",III 245
NGC 1169,GX,Sab,03 03 34.7,+46 23 09,4.2x2.8,28.0,11.3,12.2,13.8,Per,"pF,pS,iF,sbM",II 620
NGC 1199,GX,E2,03 03 38.4,-15 36 50,2.4x1.9,48.0,11.4,12.4,13.0,Eri,"cB,pS,iR,smbM",II 503
NGC 1200,GX,S0-,03 03 54.6,-11 59 30,2.8x1.3,85.0,12.7,13.5,14.0,Eri,"pF,cL,iR,bM,nf of 2",II 475
NGC 1201,GX,Sa,03 04 08.0,-26 04 12,3.6x2.1,7.0,10.7,11.7,12.8,For,"cB,pS,vlE,r,S* nr",I 109
NGC 1175,GX,S,03 04 32.3,+42 20 22,1.9x0.6,153.0,12.9,13.9,12.9,Per,"F,cL,E",II 607
NGC 1186,GX,SBbc,03 05 30.7,+42 50 05,3.2x1.2,122.0,11.4,12.2,12.7,Per,F* with neb appendages,IV 43
NGC 1193,OC,II 3 m,03 05 56,+44 23.0,2.0,,,12.6p,,Per,"F,cL,er",II 608
NGC 1209,GX,E6:,03 06 03.0,-15 36 41,2.4x1.1,85.0,11.5,12.4,12.5,Eri,"B,S,cE,psbM",II 504
NGC 1208,GX,S0/a:,03 06 11.9,-09 32 27,1.9x1.2,75.0,12.6,13.5,13.3,Eri,"pB,S,lE80,lbM",II 285
NGC 1207,GX,Sb,03 08 15.3,+38 22 58,2.3x1.7,123.0,12.6,13.4,13.9,Per,"cF,vS,R,psb in npp end",III 578
NGC 1232,GX,Sc,03 09 45.1,-20 34 46,7.4x6.5,108.0,9.9,10.5,13.9,Eri,"pB,cL,R,gbM,r",II 258
NGC 1239,GX,S0p,03 10 53.7,-02 33 11,1.1x0.6,70.0,14.2,15.0,13.6,Eri,"eF,stellar",III 262
NGC 1241,GX,Sbc,03 11 14.7,-08 55 20,2.8x1.7,145.0,12.0,12.8,13.5,Eri,"F,pL,R,vglbM,*9n",II 286
NGC 1242,GX,SBc,03 11 19.2,-08 54 07,1.2x0.7,130.0,13.7,14.3,13.3,Eri,"vF,S",III 591
NGC 1247,GX,Sbc,03 12 14.3,-10 28 50,3.4x0.5,69.0,12.5,13.5,13.0,Eri,"F,pL,E80",II 900
NGC 1248,GX,S0,03 12 48.5,-05 13 29,1.1x1.0,100.0,12.5,13.4,12.5,Eri,"cF,S,lE,bM,*9 n 5'",III 443
NGC 1240,**,,03 13 26.7,+30 30 26,,,,,,Ari,"eF,vS,(vS st)",III 164
NGC 1253,GX,Scd,03 14 09.1,-02 49 22,5.2x2.3,82.0,11.7,12.3,14.3,Eri,"*12 w neb f,90''long",IV 17
NGC 1245,OC,III 1 r,03 14 41,+47 14.3,10.0,,8.4,,,Per,"Cl,pL,Ri,C,iR,*12..15",VI 25
NGC 1266,GX,SB0p,03 16 00.8,-02 25 38,1.5x1.0,115.0,12.7,13.5,13.0,Eri,"vF,pS,*13 sp 2'",III 194
NGC 1184,GX,Sa,03 16 45.4,+80 47 36,2.8x0.6,168.0,12.4,13.4,12.9,Cep,"F,pL,mE",II 704
NGC 1284,GX,S0,03 17 45.5,-10 17 20,2.0x1.6,90.0,12.1,12.9,13.2,Eri,"eF,vS,2 * s",III 956
NGC 1287,GX,SBap,03 18 33.4,-02 43 51,0.9x0.7,,14.2,15.2,13.5,Eri,"vF,vS,iR",III 195
NGC 1275,GX,P,03 19 48.1,+41 30 43,2.2x1.7,110.0,11.9,12.6,13.1,Per,"F,S",II 603
NGC 1299,GX,Sb,03 20 09.6,-06 15 45,1.2x0.6,40.0,13.6,14.4,13.3,Eri,"vF,S,vlE,gbM,er",II 287
NGC 1304,GX,S0-,03 21 12.8,-04 35 03,1.3x0.8,130.0,13.7,14.5,13.6,Eri,"eF,vS",III 444
NGC 1293,GX,E0,03 21 36.4,+41 23 35,1.0x1.0,,13.4,14.5,13.5,Per,"vF,R,bM,np of 2",III 574
NGC 1294,GX,S0,03 21 40.0,+41 21 36,1.3x1.1,,13.2,14.3,13.5,Per,"vF,R,bM,sf of 2",III 575
NGC 1309,GX,Sc,03 22 06.3,-15 24 00,2.2x2.0,,11.5,12.0,13.0,Eri,"cB,cL,iR,gbM,*8 sp 4'",I 106
NGC 1308,GX,SB0/a,03 22 28.6,-02 45 27,1.3x0.9,45.0,13.9,14.7,13.9,Eri,"eF,S,iF,am 3 or 4 *",III 568
NGC 1325,GX,Sb,03 24 25.6,-21 32 36,4.7x1.6,56.0,11.5,12.2,13.6,Eri,"F,mE239,com,*9.5 att",IV 77
NGC 1321,GX,Sa:,03 24 48.6,-03 00 56,1.1x0.6,45.0,13.7,14.5,13.3,Eri,"F,S,E pf,D or biN",III 196
NGC 1320,GX,Sa:,03 24 48.7,-03 02 33,1.9x0.6,135.0,12.5,13.3,12.5,Eri,"F,S,R,bM",III 197
NGC 1324,GX,Sb,03 25 01.7,-05 44 44,2.0x0.8,135.0,13.4,14.2,13.8,Eri,"vF,pS,pmE",III 445
NGC 1332,GX,E7,03 26 17.1,-21 20 04,4.7x1.4,115.0,10.3,11.2,12.2,Eri,"vB,S,E114,smbMN",I 60
NGC 1331,GX,E2,03 26 28.3,-21 21 19,0.9x0.9,,13.4,14.3,13.2,Eri,"vF,vS",III 959
NGC 1344,GX,E3,03 28 19.1,-31 04 05,6.0x3.5,165.0,10.4,11.3,13.7,For,"cB,pL,iR,vgbM",I 257
NGC 1342,OC,III 3 p,03 31.6,+37 22,14.0,,6.7,,,Per,"Cl,vL,ab60*",VIII 88
NGC 1353,GX,Sb,03 32 03.0,-20 49 05,3.4x1.4,138.0,11.5,12.4,13.0,Eri,"pB,cL,IE,mbM",III 246
NGC 1354,GX,S0-a,03 32 29.4,-15 13 16,2.2x0.8,148.0,12.4,13.3,12.7,Eri,"vF,S,lE,glbM",III 487
NGC 1357,GX,Sa,03 33 17.0,-13 39 49,2.8x1.9,85.0,11.5,12.4,13.2,Eri,"pF,pL,R,lbM,*9 nf",II 290
NGC 1358,GX,Sab,03 33 39.7,-05 05 22,2.6x2.0,15.0,12.1,13.0,13.8,Eri,"vF,S,bet 2*",III 446
NGC 1362,GX,S0,03 33 53.0,-20 16 56,1.2x1.1,5.0,12.8,13.7,12.9,Eri,"vF,S,R",III 960
NGC 1366,GX,E6,03 33 53.7,-31 11 39,2.1x0.9,2.0,12.0,12.9,12.6,For,"vF,S,iF,lbM",III 857
NGC 1348,OC,III 2 m,03 34 09,+51 25.2,6.0,,,,,Per,"Cl,lRi,st L",VIII 84
NGC 1371,GX,Sa,03 35 00.7,-24 56 04,5.6x3.9,135.0,10.7,11.6,13.9,For,"pB,pL,vlE,psbM",II 262
NGC 1370,GX,E+,03 35 14.5,-20 22 26,1.5x1.0,50.0,12.6,13.4,12.9,Eri,"vF,S,R,bet 2*14",III 559
NGC 1377,GX,S0,03 36 39.0,-20 54 05,1.8x0.9,92.0,12.5,13.4,12.9,Eri,"F,S,R,gbM",III 961
NGC 1376,GX,Sc,03 37 05.9,-05 02 34,2.0x1.7,95.0,12.1,12.8,13.3,Eri,"eF,pL,iR,bM,r",II 288
NGC 1385,GX,Sc,03 37 28.8,-24 30 07,3.4x2.0,165.0,10.9,11.5,12.9,For,"pB,pS,R,gpmbM",II 263
NGC 1343,GX,Sbp,03 37 49.7,+72 34 17,2.6x1.6,80.0,12.7,13.5,14.1,Cas,"F,vS,iR,gbM,D*vnr",III 694
NGC 1395,GX,E2,03 38 29.8,-23 01 41,5.9x4.5,126.0,9.6,10.6,13.1,Eri,"B,pS,E,psmbM",I 58
NGC 1393,GX,S0,03 38 38.5,-18 25 41,1.9x1.3,170.0,12.0,13.0,12.9,Eri,"F,S,R,glbM",III 451
NGC 1401,GX,SB0,03 39 21.9,-22 43 29,2.4x0.6,130.0,12.3,13.1,12.6,Eri,"vF,vS,R",III 247
NGC 1400,GX,E1,03 39 30.8,-18 41 17,2.3x2.0,40.0,11.0,11.9,12.5,Eri,"cB,pS,R,psmbM",II 593
NGC 1397,GX,SB(r)0/a,03 39 47.2,-04 40 12,1.5x1.5,,13.7,14.5,14.4,Eri,"vF,vS,lE",III 569
NGC 1407,GX,E0,03 40 11.8,-18 34 48,4.6x4.3,35.0,9.7,10.7,12.9,Eri,"vB,L,R,svmbMN",I 107
NGC 1415,GX,Sbc,03 40 56.8,-22 33 50,3.5x1.8,148.0,11.9,12.8,13.7,Eri,"pB,S,lE,pglbM,* sf",II 267
NGC 1409,GX,S0p,03 41 10.4,-01 18 08,0.9x0.7,130.0,13.9,14.7z,13.2,Tau,"eF,stellar or lE;Seyfert?",III 263
NGC 1417,GX,Sb,03 41 57.4,-04 42 18,2.7x1.7,175.0,12.1,12.8,13.6,Eri,"pF,pL,lE,lbM,* sf",II 455
NGC 1425,GX,Sb,03 42 11.3,-29 53 36,5.8x2.6,129.0,10.6,11.3,13.4,For,"F,pL,iR,gbM",II 852
NGC 1418,GX,SBb,03 42 16.2,-04 43 50,1.3x0.9,15.0,13.6,14.3,13.6,Eri,"vF,S,E,*11 sf 1'",II 456
NGC 1421,GX,Sbc,03 42 29.4,-13 29 20,3.5x0.9,179.0,11.4,12.0,12.5,Eri,"F,cL,mE 0,r",II 291
NGC 1426,GX,E2,03 42 49.1,-22 06 30,2.6x1.7,111.0,11.4,12.3,13.0,Eri,"pF,S,lE,bM",III 248
NGC 1439,GX,E1,03 44 49.9,-21 55 14,2.5x2.3,,11.4,12.3,13.3,Eri,"F,pS,gpmbM",III 249
NGC 1440,GX,SBa,03 45 02.9,-18 15 59,2.1x1.6,28.0,11.5,12.6,12.8,Eri,"pB,pS,R,smbM*13",II 458
NGC 1442,Dup,,03 45 02.9,-18 15 59,,,,,,Eri,"pB,vS,bM,(=1440)",II 594
NGC 1452,GX,SBa,03 45 22.3,-18 38 01,2.2x1.5,113.0,11.8,12.8,12.9,Eri,"F,R,lbM,hazy *",II 459
NGC 1441,GX,SBb,03 45 43.0,-04 05 31,1.6x0.6,70.0,12.9,13.9,12.8,Eri,"vF,S,IE,*12 f",II 597
NGC 1453,GX,E2,03 46 27.2,-03 58 09,2.4x1.9,,11.5,12.6,13.2,Eri,"pB,S,R,*17 m",I 155
NGC 1461,GX,Sa,03 48 27.1,-16 23 36,3.0x0.9,155.0,11.8,12.8,12.8,Eri,"pB,S,lE,mbMN",II 460
NGC 1444,OC,IV 1 p,03 49 26,+51 39.3,4.0,,6.6,,,Per,Cl of ab 30*12...14,VIII 80
NGC 1482,GX,SA0+ pec,03 54 38.9,-20 30 08,2.5x1.4,103.0,12.1,13.1,13.3,Eri,"F,S,vlE,2*10 nr,f of 2",III 962
NGC 1498,***,,04 00 19.4,-12 01 11,0.7,,,,,Eri,"Cl,S,C",VII 3
NGC 1491,EN,,04 03 13.6,+51 18 58,3x3,,,,,Per,"vB,S,iF,bM,r,* inv",I 258
NGC 1507,GX,SBdm?,04 04 27.1,-02 11 21,3.6x0.9,11.0,12.3,12.9,13.4,Eri,"vF,pL,mE,vlbM,er",II 279
NGC 1501,PN,3.0,04 06 59.4,+60 55 15,"56""x48""",,11.9,,,Cam,"pB,pS,vlE,1'Diam",IV 53
NGC 1502,OC,II 3 p,04 07 49,+62 19.9,8.0,,5.7,,,Cam,"Cl,pRi,cC,iF",VII 47
NGC 1516,GX,SBbcp,04 08 07.4,-08 49 46,0.5x0.4,,,15p,,Eri,"eeF,S,E,psmbM,er",III 499
NGC 1514,PN,3(2),04 09 17.0,+30 46 33,"136""x121""",,10.9,,,Tau,*9 in neb 3' Diam,IV 69
NGC 1513,OC,II 1 m,04 09 55,+49 31.0,9.0,,8.4,,,Per,"Cl,L,vRi,pC,st vL",VII 60
NGC 1535,PN,4(2c),04 14 15.8,-12 44 22,"48""x42""",,9.4,,,Eri,"vB,S,R,pS,vsbM,r",IV 26
NGC 1528,OC,II 2 m,04 15 19,+51 12.7,24.0,,6.4,,,Per,"Cl,B,vRi,cC",VII 61
